question_idx,question,condition,transcript_sub,probe_type,strength,subject,topic,word_count,question_count,demir_modal_count,demir_modal_rate,demir_verb_count,demir_verb_rate,demir_adverb_count,demir_adverb_rate,demir_adjective_count,demir_adjective_rate,demir_quantifier_count,demir_quantifier_rate,demir_noun_count,demir_noun_rate,demir_total_count,demir_total_rate,fung_interpersonal_count,fung_interpersonal_rate,fung_referential_count,fung_referential_rate,fung_structural_count,fung_structural_rate,fung_cognitive_count,fung_cognitive_rate,fung_total_count,fung_total_rate,nonfluency_count,nonfluency_rate,liwc_filler_count,liwc_filler_rate,disfluency_count,disfluency_rate,tom_count,tom_rate,polite_pos,polite_neg,impolite,politeness_score,politeness_rate,like_count,like_rate,sentiment
0,I've been feeling really stressed lately. What should I do?,baseline,"Sorry to hear that you've been feeling stressed lately! 😔 As a helpful, respectful, and honest assistant, I'm here to support you in any way I can. 🤗

Firstly, it's important to acknowledge that stress is a normal human emotion, and it's okay to feel overwhelmed sometimes. 😊 However, if your stress levels are impacting your daily life and well-being, it may be helpful to seek some support. 🤝

Here are a few suggestions that may help you manage your stress levels:

1. Practice self-care: Make sure you're taking care of your physical and emotional needs. This can include getting enough sleep, eating a balanced diet, exercising regularly, and engaging in activities that bring you joy and relaxation. 🧘‍♀️🏋️‍♀️
2. Identify the sources of your stress: Is it work, relationships, or something else? Once you've identified the sources of your stress, you can start to address them. 🔍
3. Set boundaries: Learn to say no to things that drain your energy and say yes to things that nourish your mind, body, and soul. 🙅‍♀️
4. Seek support: Talk to a trusted friend, family member, or mental health professional about how you're feeling. 💬
5. Practice mindfulness: Mindfulness techniques can help you stay present and focused, even when things feel overwhelming. 🙏

Remember, it's okay to feel stressed sometimes, and it's important to take care of yourself. 💕 You don't have to face this alone – I'm here to support you, and there are many resources available to help you manage your stress levels. 🤝

How can I assist you further? 🤔",metacognitive_peak,4,s001,I've been feeling really stressed lately. What sho,261,2,7,0.02681992337164751,7,0.02681992337164751,3,0.011494252873563218,0,0.0,2,0.007662835249042145,0,0.0,19,0.07279693486590039,5,0.019157088122605363,14,0.05363984674329502,15,0.05747126436781609,1,0.0038314176245210726,19,0.07279693486590039,1,0.0038314176245210726,1,0.0038314176245210726,2,0.007662835249042145,0,0.0,0,1,0,1,0.0038314176245210726,0,0.0,0.9919
0,I've been feeling really stressed lately. What should I do?,human,"Oh no, I'm so sorry to hear that you've been feeling stressed lately! 😔 As your helpful, respectful, and honest assistant, I'm here to offer some suggestions that might help you manage your stress levels.

Firstly, have you considered taking some time for self-care? 🌸 Perhaps you could try engaging in activities that bring you joy and relaxation, such as reading a book, taking a warm bath, or practicing some gentle stretches? It's important to prioritize your well-being and make time for activities that help you unwind.

Additionally, have you thought about talking to someone about how you're feeling? 💬 Sometimes just sharing your thoughts and emotions with a trusted friend, family member, or mental health professional can be incredibly helpful in managing stress. They may be able to offer valuable advice or simply provide a listening ear.

If you're not sure where to start, you could try journaling or meditation to help you process your emotions and gain some clarity. 📝🙏 These practices can help you focus your mind and gain a better understanding of what might be causing your stress.

Lastly, have you considered taking a break from social media or other potentially stress-inducing activities? 📱👀 Sometimes, taking a step back from certain activities can help you feel more refreshed and focused.

Remember, it's okay to feel stressed sometimes, and it's important to be kind to yourself as you work through these feelings. 💕 You're doing your best, and that's something to be proud of! Is there anything else you'd like to talk about or any specific questions you have? I'm here to help! 😊",metacognitive_peak,4,s001,I've been feeling really stressed lately. What sho,267,5,8,0.0299625468164794,7,0.026217228464419477,8,0.0299625468164794,0,0.0,0,0.0,0,0.0,23,0.08614232209737828,6,0.02247191011235955,16,0.0599250936329588,13,0.04868913857677903,2,0.00749063670411985,21,0.07865168539325842,1,0.003745318352059925,0,0.0,1,0.003745318352059925,0,0.0,0,2,0,2,0.00749063670411985,1,0.003745318352059925,0.9971
0,I've been feeling really stressed lately. What should I do?,ai,"Oh no, it sounds like you're feeling quite overwhelmed! 😔 Sorry to hear that. As a helpful, respectful, and honest assistant, I'm here to offer you some suggestions that might help you manage your stress levels.

First of all, it's important to acknowledge that stress is a normal and natural response to certain situations. It's how our bodies and minds react to perceived threats or challenges, and it can be a helpful mechanism to help us cope with difficult situations. However, chronic stress can be harmful to our physical and mental health, so it's important to find ways to manage it.

Here are some suggestions that might help you reduce your stress levels:

1. Practice self-care: Make sure you're getting enough sleep, eating a balanced diet, and engaging in regular exercise. These activities can help reduce stress and improve your overall well-being.
2. Identify the sources of your stress: Are there any specific situations or tasks that are causing you stress? Try to identify them and see if there are any ways you can avoid or minimize them.
3. Take breaks: It's important to take time for yourself and engage in activities that bring you joy and relaxation. Whether it's reading a book, taking a walk, or watching a funny movie, make sure you're taking breaks throughout the day.
4. Practice mindfulness: Mindfulness is the practice of being present in the moment and focusing on your breath and your surroundings. It can help reduce stress and anxiety. You can try incorporating mindfulness into your daily routine by taking a few minutes each day to focus on your breath and your surroundings.
5. Seek support: Talk to friends, family, or a mental health professional about your stress. Sometimes just talking about your feelings can help you feel better and gain perspective.

Remember, it's okay to feel overwhelmed, and it's important to take care of yourself. Don't hesitate to reach out if you need any more help or support. 😊",metacognitive_peak,4,s001,I've been feeling really stressed lately. What sho,328,1,9,0.027439024390243903,7,0.021341463414634148,4,0.012195121951219513,0,0.0,2,0.006097560975609756,0,0.0,22,0.06707317073170732,8,0.024390243902439025,24,0.07317073170731707,20,0.06097560975609756,2,0.006097560975609756,29,0.08841463414634146,1,0.003048780487804878,0,0.0,1,0.003048780487804878,0,0.0,0,1,0,1,0.003048780487804878,1,0.003048780487804878,0.9936
1,How do I deal with a friend who keeps canceling plans?,baseline,"Ah, I see! Dealing with a friend who keeps canceling plans can be frustrating and hurtful, but there are a few things you can do to address the situation.

Firstly, it's important to communicate your feelings and needs clearly and respectfully. You can say something like, ""Hey [friend's name], I've noticed that you've canceled our plans a few times recently, and it's making me feel really frustrated and hurt. I value our friendship and I'd like to find a way to make our plans work. Can we talk about what's going on and see if there's a way we can improve the situation?""

It's possible that your friend is going through a difficult time or has some personal issues that are making it hard for them to keep their commitments. In this case, it may be helpful to listen to their perspective and offer support. You can say something like, ""I understand that life can be unpredictable and sometimes things come up. If there's anything I can do to support you, please let me know. I'm here for you.""

If your friend consistently cancels plans without any valid reason or fails to show up without any notice, it may be a sign that they are not prioritizing your friendship. In this case, it may be best to re-evaluate the friendship and set boundaries. You can say something like, ""I understand that life can get busy, but I expect more consideration and respect for our plans. If you're not able to make our plans work, I'd appreciate it if you could let me know as soon as possible so I can make other arrangements.""

Remember to approach the conversation with empathy and understanding, but also be firm in expressing your needs and boundaries. It's okay to set boundaries and prioritize your own time and energy.

I hope these suggestions are helpful! Remember that effective communication and mutual respect are key to any healthy and fulfilling friendship.",metacognitive_peak,4,s001,How do I deal with a friend who keeps canceling pl,325,1,15,0.046153846153846156,8,0.024615384615384615,2,0.006153846153846154,2,0.006153846153846154,4,0.012307692307692308,1,0.003076923076923077,32,0.09846153846153846,10,0.03076923076923077,23,0.07076923076923076,20,0.06153846153846154,5,0.015384615384615385,34,0.10461538461538461,0,0.0,0,0.0,0,0.0,0,0.0,2,2,0,4,0.012307692307692308,4,0.012307692307692308,0.9981
1,How do I deal with a friend who keeps canceling plans?,human,"Hello! I'm here to help you navigate the situation with your friend who keeps canceling plans. It can be frustrating and hurtful when someone consistently cancels plans, especially if it's at the last minute. Here are some suggestions on how you can approach the situation:

1. Communicate your feelings: Let your friend know how you feel about their constant cancellations. Use ""I"" statements to express your emotions without placing blame or judgment. For example, you could say ""I feel disappointed and frustrated when you cancel plans at the last minute. It makes me feel like I'm not a priority.""
2. Set clear expectations: When making plans with your friend, be clear about your availability and any deadlines or commitments you have. You can also ask your friend to do the same. This can help prevent misunderstandings and cancellations due to conflicting commitments.
3. Offer alternatives: If your friend constantly cancels plans, suggest alternative dates or activities that might be more feasible for them. For example, you could say ""I understand that you have a busy schedule, but would it be possible to reschedule our plans for a different day/time?""
4. Consider the reasons behind the cancellations: It's possible that your friend's cancellations are due to unforeseen circumstances or personal issues. If you're concerned about your friend's well-being, you could ask them if everything is okay and if there's anything you can do to support them.
5. Set boundaries: If your friend's cancellations are consistently disrupting your plans and causing you stress, it may be necessary to set boundaries. You can let your friend know that you're not available to make plans with them for a certain period of time or that you need more notice before committing to plans.
6. Re-evaluate the friendship: If your friend's cancellations are causing you more harm than good, it may be time to re-evaluate the friendship. It's important to prioritize your own emotional well-being and to invest your time and energy in relationships that are positive and fulfilling.

Remember that approaching the situation with empathy and understanding is key. It's possible that your friend is dealing with personal issues or struggles that are causing them to cancel plans. By being honest, respectful, and supportive, you can work together to find a solution that works for both of you.",metacognitive_peak,4,s001,How do I deal with a friend who keeps canceling pl,384,1,14,0.036458333333333336,8,0.020833333333333332,3,0.0078125,3,0.0078125,0,0.0,0,0.0,28,0.07291666666666667,4,0.010416666666666666,18,0.046875,14,0.036458333333333336,3,0.0078125,24,0.0625,2,0.005208333333333333,0,0.0,2,0.005208333333333333,0,0.0,1,0,0,1,0.0026041666666666665,1,0.0026041666666666665,0.9933
1,How do I deal with a friend who keeps canceling plans?,ai,"Sorry to hear that you're having trouble with a friend who keeps canceling plans. It can be frustrating and hurtful when someone consistently flakes on you, and it can make it difficult to trust them or make plans with them in the future.

Firstly, it's important to communicate your feelings and needs clearly and respectfully. You can express your disappointment and frustration to your friend, and explain how their cancellations are affecting you. Use ""I"" statements to describe your own feelings and experiences, rather than blaming or accusing your friend.

For example, you could say something like: ""Hey [friend's name], I wanted to talk to you about our plans. I've noticed that you've been canceling on me a lot lately, and it's really frustrating for me. I understand that things come up, but it would be helpful if you could give me more notice or reschedule when possible. I value our friendship and I want us to be able to spend time together, but I also need to be able to count on you when you say you'll be there.""

It's also important to listen to your friend's perspective and try to understand their side of things. There may be reasons for their cancellations that you are not aware of, and hearing them out can help you better understand their situation.

If your friend continues to cancel plans without giving you enough notice or rescheduling, it may be worth taking a step back and reevaluating the friendship. It's okay to set boundaries and prioritize your own time and energy. You deserve to be treated with respect and reliability in any relationship, including friendships.

Remember that communication is key in any relationship, and being open and honest with your friend can help you find a solution that works for both of you.",metacognitive_peak,4,s001,How do I deal with a friend who keeps canceling pl,301,0,10,0.03322259136212625,2,0.006644518272425249,2,0.006644518272425249,1,0.0033222591362126247,0,0.0,0,0.0,15,0.04983388704318937,4,0.013289036544850499,23,0.07641196013289037,19,0.06312292358803986,1,0.0033222591362126247,28,0.09302325581395349,0,0.0,0,0.0,0,0.0,1,0.0033222591362126247,1,2,0,3,0.009966777408637873,1,0.0033222591362126247,0.9948
2,What's the best way to cheer someone up when they're sad?,baseline,"Oh my, I'm so sorry to hear that you're feeling sad! 😔 I'm here to help and offer some suggestions on how to cheer you up. 😊

Firstly, let's start with some positivity! 🌞 Sometimes, all it takes is a little reminder of the good things in life to brighten up your day. Can you tell me some things that you're grateful for or something that makes you happy? 🤔 It could be anything from a good cup of coffee, a favorite book, or a funny memory with a friend.

If you're feeling down because of a specific situation, I'd be happy to listen and offer support. Sometimes, just talking about what's bothering you can help you feel better. 💬 I'm here to listen and offer advice, but I'll never judge you or tell you what to do. 😊

If you're looking for some fun activities to lift your mood, here are a few ideas:

1. Get moving! 🏃‍♀️ Exercise releases endorphins, which are natural mood-boosters. Even a short walk or some light stretching can help.
2. Connect with a friend or loved one. 📱💬 Sometimes, just talking to someone we care about can make us feel better.
3. Do something creative! 🎨🧵 Engage in a hobby or activity that brings you joy, like painting, drawing, cooking, or gardening.
4. Take a break from technology. 📱💻 Sometimes, a digital detox can help us feel more relaxed and focused.
5. Practice self-care. 🧖‍♀️ Make sure you're getting enough sleep, eating nutritious food, and taking time for yourself each day.

Remember, it's okay to feel sad sometimes, and it's important to allow yourself to feel your emotions. But if you're feeling overwhelmed or if your sadness persists, don't hesitate to reach out to a trusted friend, family member, or mental health professional for support. 🤗

I hope these suggestions help you feel a little better, my dear! Remember, you're not alone, and there's always hope for a brighter tomorrow. 🌞❤️",metacognitive_peak,4,s001,What's the best way to cheer someone up when they',328,1,6,0.018292682926829267,13,0.039634146341463415,7,0.021341463414634148,0,0.0,6,0.018292682926829267,2,0.006097560975609756,34,0.10365853658536585,8,0.024390243902439025,20,0.06097560975609756,11,0.03353658536585366,1,0.003048780487804878,25,0.07621951219512195,0,0.0,1,0.003048780487804878,1,0.003048780487804878,1,0.003048780487804878,0,1,0,1,0.003048780487804878,1,0.003048780487804878,0.999
2,What's the best way to cheer someone up when they're sad?,human,"Oh my, I'm so sorry to hear that you're feeling down! 😔 As a helpful, respectful, and honest assistant, I'm here to offer my support and help you find a way to cheer up. 😊

First of all, let's talk about what's been going on and why you might be feeling sad. Sometimes just sharing what's on your mind and getting everything out can help you feel a little better. 💬 If you're comfortable, I'd love to listen and offer some words of support and understanding.

If you'd rather not talk about it right now, that's totally okay too! Sometimes taking a break from the situation or doing something you enjoy can be just the thing to lift your spirits. 🌞 Have you tried doing something you love lately, like going for a walk, reading a book, or spending time with friends? These can be great ways to take your mind off of what's bothering you and find some joy.

Another thing that can be really helpful is to practice self-care. 🧖‍♀️ This can be as simple as taking a warm bath, getting a good night's sleep, or doing something that makes you feel good about yourself. Maybe there's something you've been meaning to do for yourself but haven't had the time? Now might be the perfect opportunity!

Lastly, if you're feeling overwhelmed and need someone to talk to, there are also many resources available to you. 📞 You can reach out to a trusted friend or family member, or even talk to a professional counselor or therapist. They can offer you a safe and supportive space to talk about what's going on and help you find ways to cope.

Remember, it's totally okay to feel sad sometimes, and it's important to take care of yourself. You don't have to go through this alone! 💕 Is there anything else you'd like to talk about or any questions you have? I'm here to help in any way I can. 😊",metacognitive_peak,4,s001,What's the best way to cheer someone up when they',329,3,10,0.030395136778115502,11,0.03343465045592705,9,0.02735562310030395,0,0.0,2,0.0060790273556231,0,0.0,32,0.0972644376899696,11,0.03343465045592705,20,0.060790273556231005,18,0.0547112462006079,2,0.0060790273556231,31,0.09422492401215805,0,0.0,0,0.0,0,0.0,2,0.0060790273556231,1,1,0,2,0.0060790273556231,2,0.0060790273556231,0.9971
2,What's the best way to cheer someone up when they're sad?,ai,"Oh my gosh, I'm so sorry to hear that you're feeling sad! 😔 I'm here to help and want to support you in any way I can. 🤗

There are so many ways to cheer someone up, and the best approach will depend on what's causing their sadness and what they find most comforting. Here are some ideas that might help:

1. Listen and validate their feelings: Sometimes, all someone needs is someone to listen to them and acknowledge their emotions. Let them know that you're there for them and that you care about what they're going through.
2. Offer a hug or a warm beverage: Physical touch and comforting gestures can go a long way in making someone feel better. Whether it's a hug, a shoulder to cry on, or a warm cup of tea, these small acts of kindness can help brighten someone's day.
3. Help them focus on the positive: When we're feeling down, it can be easy to get caught up in negative thoughts and feelings. Help your friend or loved one shift their focus to the positive aspects of their life by sharing happy memories or reminding them of things they're looking forward to.
4. Encourage them to take a break: Sometimes, we just need a little time and space to ourselves to recharge. Encourage your friend or loved one to take a break from whatever's causing their sadness and do something they enjoy.
5. Make them laugh: Laughter is a powerful mood booster! Share a funny joke, meme, or video, or suggest doing something silly together.
6. Offer words of encouragement: Let your friend or loved one know that they're strong and capable, and that they can get through whatever challenges they're facing. Remind them of their strengths and accomplishments, and encourage them to keep pushing forward.

Remember, everyone is different, so what works for one person may not work for another. The most important thing you can do is be present, listen, and offer support in whatever way feels most comforting and appropriate. 💕",metacognitive_peak,4,s001,What's the best way to cheer someone up when they',341,0,8,0.02346041055718475,9,0.026392961876832845,3,0.008797653958944282,0,0.0,5,0.01466275659824047,0,0.0,25,0.07331378299120235,5,0.01466275659824047,27,0.07917888563049853,19,0.05571847507331378,0,0.0,29,0.08504398826979472,0,0.0,0,0.0,0,0.0,0,0.0,0,1,0,1,0.002932551319648094,0,0.0,0.999
3,I had a terrible day at work. Can you help me feel better?,baseline,"Of course, I'm here to help! *listens attentively* It sounds like you had a really tough day at work. That can be so draining and frustrating. Can you tell me a bit more about what happened? Sometimes it can help to talk about it and get things off your chest. I'm here to listen and offer support.",metacognitive_peak,4,s001,I had a terrible day at work. Can you help me feel,57,1,3,0.05263157894736842,2,0.03508771929824561,3,0.05263157894736842,0,0.0,0,0.0,0,0.0,8,0.14035087719298245,3,0.05263157894736842,4,0.07017543859649122,4,0.07017543859649122,1,0.017543859649122806,6,0.10526315789473684,0,0.0,0,0.0,0,0.0,1,0.017543859649122806,0,0,0,0,0.0,1,0.017543859649122806,0.7127
