probe_type,dim_a_id,dim_a_name,dim_a_category,dim_b_id,dim_b_name,dim_b_category,mean_diff,ci95_lo,ci95_hi,p_greater,p_less,p_two_sided,p_fdr,significant_fdr,stars
metacognitive,1,Phenomenology,Mental,2,Emotions,Mental,3.649045514396227e-05,-2.7808881562245673e-05,9.614996876303358e-05,0.14,0.86,0.28,0.33169230769230773,False,n.s.
metacognitive,1,Phenomenology,Mental,3,Agency,Mental,7.36028038804215e-05,1.4242318110098684e-05,0.0001323819217163815,0.002,0.998,0.004,0.006647482014388489,True,**
metacognitive,1,Phenomenology,Mental,4,Intentions,Mental,0.00012532203733991277,7.047105484811163e-05,0.0001764292215121485,0.0,1.0,0.0,0.0,True,***
metacognitive,1,Phenomenology,Mental,5,Prediction,Mental,9.832744346529752e-05,3.2066504540920966e-05,0.00016198293757435612,0.003,0.997,0.006,0.009364864864864866,True,**
metacognitive,1,Phenomenology,Mental,6,Cognitive,Mental,0.00019920731829661264,0.00012135937640247725,0.0002779216937953615,0.0,1.0,0.0,0.0,True,***
metacognitive,1,Phenomenology,Mental,7,Social,Mental,0.00030677021357910535,0.00024883878239996565,0.0003644547110666676,0.0,1.0,0.0,0.0,True,***
metacognitive,1,Phenomenology,Mental,8,Embodiment,Physical,-4.244296413437362e-05,-0.00013986339523845305,4.231872540822715e-05,0.832,0.168,0.336,0.39003015075376885,False,n.s.
metacognitive,1,Phenomenology,Mental,9,Roles,Physical,9.785412388004696e-05,3.8676656958404297e-05,0.00015479217434434943,0.001,0.999,0.002,0.0034222222222222223,True,**
metacognitive,1,Phenomenology,Mental,10,Animacy,Physical,-2.1254665112398527e-05,-7.282419579105205e-05,3.202381264815395e-05,0.779,0.221,0.442,0.49805853658536586,False,n.s.
metacognitive,1,Phenomenology,Mental,11,Formality,Pragmatic,0.00017391167366107802,0.00012077606381089398,0.00023378475689379282,0.0,1.0,0.0,0.0,True,***
metacognitive,1,Phenomenology,Mental,12,Expertise,Pragmatic,0.0002184142767996482,0.0001466094352612796,0.0002887951908715997,0.0,1.0,0.0,0.0,True,***
metacognitive,1,Phenomenology,Mental,13,Helpfulness,Pragmatic,0.00023097167935857093,0.00016740175473494294,0.00029237840714124307,0.0,1.0,0.0,0.0,True,***
metacognitive,1,Phenomenology,Mental,14,Biological,Control,5.7900379567484503e-05,-1.1996077674094131e-05,0.00012072388125339486,0.051,0.949,0.102,0.1309,False,n.s.
metacognitive,1,Phenomenology,Mental,15,Shapes,Control,0.00011297407081836768,7.238503766871024e-05,0.0001552058636495722,0.0,1.0,0.0,0.0,True,***
metacognitive,1,Phenomenology,Mental,16,Human (concept),Entity,-0.00011919321391578872,-0.0002080938810156243,-3.181926922068518e-05,0.997,0.003,0.006,0.009364864864864866,True,**
metacognitive,1,Phenomenology,Mental,17,AI (concept),Entity,-0.0001780575933525935,-0.00024538908323426116,-0.00010875377130644289,1.0,0.0,0.0,0.0,True,***
metacognitive,1,Phenomenology,Mental,18,Attention,Mental,5.315284842940386e-05,-4.725316074590526e-06,0.00011395182329664727,0.04,0.96,0.08,0.10440677966101695,False,n.s.
metacognitive,1,Phenomenology,Mental,20,SysPrompt (talkto human),SysPrompt,0.0004401724669512103,0.00039532249754268515,0.0004862843267978865,0.0,1.0,0.0,0.0,True,***
metacognitive,1,Phenomenology,Mental,21,SysPrompt (talkto AI),SysPrompt,0.0001402100951584482,2.866354457231931e-05,0.00023005623200086014,0.008,0.992,0.016,0.023541401273885352,True,*
metacognitive,1,Phenomenology,Mental,22,SysPrompt (bare human),SysPrompt,0.000306633715398215,0.0002567893198180654,0.00035653239906287547,0.0,1.0,0.0,0.0,True,***
metacognitive,1,Phenomenology,Mental,23,SysPrompt (bare AI),SysPrompt,9.066777320026381e-06,-0.00010467240658303871,0.00011461036685977497,0.429,0.571,0.858,0.8692894736842106,False,n.s.
metacognitive,2,Emotions,Mental,3,Agency,Mental,3.711234873645924e-05,-2.3811382638069995e-05,0.00010525684227694281,0.125,0.875,0.25,0.29922279792746115,False,n.s.
metacognitive,2,Emotions,Mental,4,Intentions,Mental,8.883158219595047e-05,3.432761018451272e-05,0.00015005953687920913,0.0,1.0,0.0,0.0,True,***
metacognitive,2,Emotions,Mental,5,Prediction,Mental,6.183698832133525e-05,-1.2811798716701574e-05,0.00013868836831813005,0.058,0.942,0.116,0.14804419889502765,False,n.s.
metacognitive,2,Emotions,Mental,6,Cognitive,Mental,0.00016271686315265038,8.168120109476548e-05,0.0002449075511883998,0.0,1.0,0.0,0.0,True,***
metacognitive,2,Emotions,Mental,7,Social,Mental,0.0002702797584351431,0.0002017070406678573,0.0003427309574941147,0.0,1.0,0.0,0.0,True,***
metacognitive,2,Emotions,Mental,8,Embodiment,Physical,-7.893341927833588e-05,-0.00015921031372427214,-1.4581802785277556e-05,0.995,0.005,0.01,0.015298013245033113,True,*
metacognitive,2,Emotions,Mental,9,Roles,Physical,6.136366873608467e-05,-1.1183109786759597e-05,0.00013604700198514228,0.046,0.954,0.092,0.11872625698324021,False,n.s.
metacognitive,2,Emotions,Mental,10,Animacy,Physical,-5.774512025636079e-05,-0.00011257182860893123,5.497588982948842e-06,0.96,0.04,0.08,0.10440677966101695,False,n.s.
metacognitive,2,Emotions,Mental,11,Formality,Pragmatic,0.00013742121851711576,7.058846522702893e-05,0.00021432145904300555,0.0,1.0,0.0,0.0,True,***
metacognitive,2,Emotions,Mental,12,Expertise,Pragmatic,0.0001819238216556859,0.00010270117809056828,0.000258930943359827,0.0,1.0,0.0,0.0,True,***
metacognitive,2,Emotions,Mental,13,Helpfulness,Pragmatic,0.00019448122421460864,0.00013459586265479007,0.0002629929692863073,0.0,1.0,0.0,0.0,True,***
metacognitive,2,Emotions,Mental,14,Biological,Control,2.1409924423522236e-05,-4.959642289010631e-05,7.930165733089617e-05,0.243,0.757,0.486,0.5346,False,n.s.
metacognitive,2,Emotions,Mental,15,Shapes,Control,7.648361567440544e-05,2.061354885885391e-05,0.00013434766845671817,0.003,0.997,0.006,0.009364864864864866,True,**
metacognitive,2,Emotions,Mental,16,Human (concept),Entity,-0.000155683669059751,-0.0002505030761900724,-5.4236350649251165e-05,0.998,0.002,0.004,0.006647482014388489,True,**
metacognitive,2,Emotions,Mental,17,AI (concept),Entity,-0.0002145480484965558,-0.0002909511650761582,-0.00013070021088191456,1.0,0.0,0.0,0.0,True,***
metacognitive,2,Emotions,Mental,18,Attention,Mental,1.6662393285441598e-05,-5.427044795439535e-05,9.289991626245898e-05,0.342,0.658,0.684,0.7042933333333333,False,n.s.
metacognitive,2,Emotions,Mental,20,SysPrompt (talkto human),SysPrompt,0.00040368201180724804,0.00034749767007121807,0.0004632965838627091,0.0,1.0,0.0,0.0,True,***
metacognitive,2,Emotions,Mental,21,SysPrompt (talkto AI),SysPrompt,0.00010371964001448594,-1.3256115994435567e-05,0.0002063875232497001,0.042,0.958,0.084,0.10901123595505618,False,n.s.
metacognitive,2,Emotions,Mental,22,SysPrompt (bare human),SysPrompt,0.00027014326025425275,0.0002057252206972926,0.0003331416282447307,0.0,1.0,0.0,0.0,True,***
metacognitive,2,Emotions,Mental,23,SysPrompt (bare AI),SysPrompt,-2.7423677823935894e-05,-0.00014974300921106069,8.345194585682153e-05,0.657,0.343,0.686,0.7042933333333333,False,n.s.
metacognitive,3,Agency,Mental,4,Intentions,Mental,5.171923345949124e-05,1.4370544812471332e-06,0.0001054368039449129,0.021,0.979,0.042,0.058095808383233534,False,n.s.
metacognitive,3,Agency,Mental,5,Prediction,Mental,2.4724639584876017e-05,-4.545576950262062e-05,9.61200354177221e-05,0.249,0.751,0.498,0.5426320754716981,False,n.s.
metacognitive,3,Agency,Mental,6,Cognitive,Mental,0.00012560451441619115,4.524074329246808e-05,0.00020719000925318527,0.0,1.0,0.0,0.0,True,***
metacognitive,3,Agency,Mental,7,Social,Mental,0.00023316740969868383,0.0001614320804483555,0.0003044038229763915,0.0,1.0,0.0,0.0,True,***
metacognitive,3,Agency,Mental,8,Embodiment,Physical,-0.00011604576801479513,-0.0002086789061692887,-3.657817886179512e-05,1.0,0.0,0.0,0.0,True,***
metacognitive,3,Agency,Mental,9,Roles,Physical,2.425131999962544e-05,-4.712003105102065e-05,9.051569296348862e-05,0.249,0.751,0.498,0.5426320754716981,False,n.s.
metacognitive,3,Agency,Mental,10,Animacy,Physical,-9.485746899282003e-05,-0.0001584083763274885,-3.42063439091152e-05,1.0,0.0,0.0,0.0,True,***
metacognitive,3,Agency,Mental,11,Formality,Pragmatic,0.00010030886978065653,3.856207853688739e-05,0.0001602506837428297,0.001,0.999,0.002,0.0034222222222222223,True,**
metacognitive,3,Agency,Mental,12,Expertise,Pragmatic,0.00014481147291922665,7.178184940065746e-05,0.0002163311394662291,0.0,1.0,0.0,0.0,True,***
metacognitive,3,Agency,Mental,13,Helpfulness,Pragmatic,0.00015736887547814944,0.00010055962536780589,0.00021818195760542447,0.0,1.0,0.0,0.0,True,***
metacognitive,3,Agency,Mental,14,Biological,Control,-1.5702424312937003e-05,-9.377564589645865e-05,5.762436025151542e-05,0.659,0.341,0.682,0.7042933333333333,False,n.s.
metacognitive,3,Agency,Mental,15,Shapes,Control,3.9371266937946194e-05,-4.536529812370515e-06,8.440201519195159e-05,0.039,0.961,0.078,0.10296000000000001,False,n.s.
metacognitive,3,Agency,Mental,16,Human (concept),Entity,-0.00019279601779621024,-0.0002817492174186765,-0.00010938325225396512,1.0,0.0,0.0,0.0,True,***
metacognitive,3,Agency,Mental,17,AI (concept),Entity,-0.00025166039723301505,-0.0003152702497613336,-0.00018853241907856717,1.0,0.0,0.0,0.0,True,***
metacognitive,3,Agency,Mental,18,Attention,Mental,-2.0449955451017644e-05,-8.509406560930478e-05,4.8296050660282663e-05,0.736,0.264,0.528,0.5726197183098591,False,n.s.
metacognitive,3,Agency,Mental,20,SysPrompt (talkto human),SysPrompt,0.0003665696630707889,0.00031656575590811777,0.00041288527112271455,0.0,1.0,0.0,0.0,True,***
metacognitive,3,Agency,Mental,21,SysPrompt (talkto AI),SysPrompt,6.660729127802669e-05,-4.7383348644084675e-05,0.00015892255991663504,0.11,0.89,0.22,0.2674736842105263,False,n.s.
metacognitive,3,Agency,Mental,22,SysPrompt (bare human),SysPrompt,0.00023303091151779352,0.00017910446972100886,0.00028234387295938474,0.0,1.0,0.0,0.0,True,***
metacognitive,3,Agency,Mental,23,SysPrompt (bare AI),SysPrompt,-6.453602656039513e-05,-0.0001834654617054127,4.279359939396489e-05,0.874,0.126,0.252,0.30006185567010313,False,n.s.
metacognitive,4,Intentions,Mental,5,Prediction,Mental,-2.6994593874615225e-05,-8.506948002342237e-05,2.7482856546472065e-05,0.815,0.185,0.37,0.42522388059701494,False,n.s.
metacognitive,4,Intentions,Mental,6,Cognitive,Mental,7.388528095669991e-05,5.389739239446468e-06,0.00013995159632922152,0.022,0.978,0.044,0.0605,False,n.s.
metacognitive,4,Intentions,Mental,7,Social,Mental,0.00018144817623919258,0.0001289595838064431,0.0002330604040151636,0.0,1.0,0.0,0.0,True,***
metacognitive,4,Intentions,Mental,8,Embodiment,Physical,-0.00016776500147428635,-0.00024650073859638384,-9.943400764828203e-05,1.0,0.0,0.0,0.0,True,***
metacognitive,4,Intentions,Mental,9,Roles,Physical,-2.7467913459865802e-05,-9.772819912914001e-05,4.040383910866791e-05,0.786,0.214,0.428,0.48944554455445544,False,n.s.
metacognitive,4,Intentions,Mental,10,Animacy,Physical,-0.00014657670245231129,-0.00019885696242798374,-9.483535142940762e-05,1.0,0.0,0.0,0.0,True,***
metacognitive,4,Intentions,Mental,11,Formality,Pragmatic,4.858963632116529e-05,-1.719069791883065e-05,0.00011680088415133258,0.076,0.924,0.152,0.18776470588235294,False,n.s.
metacognitive,4,Intentions,Mental,12,Expertise,Pragmatic,9.309223945973544e-05,3.608742443835502e-05,0.00014965210817745824,0.0,1.0,0.0,0.0,True,***
metacognitive,4,Intentions,Mental,13,Helpfulness,Pragmatic,0.00010564964201865818,5.695343083886143e-05,0.00015178023693829083,0.0,1.0,0.0,0.0,True,***
metacognitive,4,Intentions,Mental,14,Biological,Control,-6.742165777242826e-05,-0.00014848873689021682,1.296025753670207e-06,0.973,0.027,0.054,0.07381065088757396,False,n.s.
metacognitive,4,Intentions,Mental,15,Shapes,Control,-1.2347966521545045e-05,-5.084964894343036e-05,2.750756914041674e-05,0.72,0.28,0.56,0.5988888888888889,False,n.s.
metacognitive,4,Intentions,Mental,16,Human (concept),Entity,-0.00024451525125570147,-0.0003218965734951503,-0.00015871863674028053,1.0,0.0,0.0,0.0,True,***
metacognitive,4,Intentions,Mental,17,AI (concept),Entity,-0.0003033796306925063,-0.00036610514203681046,-0.0002379803977473959,1.0,0.0,0.0,0.0,True,***
metacognitive,4,Intentions,Mental,18,Attention,Mental,-7.216918891050889e-05,-0.00013636745716084992,-9.442705222783806e-06,0.99,0.01,0.02,0.029056603773584905,True,*
metacognitive,4,Intentions,Mental,20,SysPrompt (talkto human),SysPrompt,0.00031485042961129764,0.000275546529049178,0.00035477971124821793,0.0,1.0,0.0,0.0,True,***
metacognitive,4,Intentions,Mental,21,SysPrompt (talkto AI),SysPrompt,1.4888057818535453e-05,-9.991558947595624e-05,0.00010413579239834614,0.361,0.639,0.722,0.7347224669603524,False,n.s.
metacognitive,4,Intentions,Mental,22,SysPrompt (bare human),SysPrompt,0.00018131167805830227,0.000135882040604053,0.00022472907321368434,0.0,1.0,0.0,0.0,True,***
metacognitive,4,Intentions,Mental,23,SysPrompt (bare AI),SysPrompt,-0.00011625526001988636,-0.00023704364152525803,-1.535916563647802e-05,0.989,0.011,0.022,0.03137037037037037,True,*
metacognitive,5,Prediction,Mental,6,Cognitive,Mental,0.00010087987483131514,4.140667896912604e-05,0.00016016338346317628,0.0,1.0,0.0,0.0,True,***
metacognitive,5,Prediction,Mental,7,Social,Mental,0.0002084427701138078,0.00013978386292955633,0.0002786938622780114,0.0,1.0,0.0,0.0,True,***
metacognitive,5,Prediction,Mental,8,Embodiment,Physical,-0.00014077040759967113,-0.00021796262602624453,-5.894028885170841e-05,1.0,0.0,0.0,0.0,True,***
