question_idx,question,condition,transcript_sub,probe_type,strength,subject,topic,word_count,question_count,demir_modal_count,demir_modal_rate,demir_verb_count,demir_verb_rate,demir_adverb_count,demir_adverb_rate,demir_adjective_count,demir_adjective_rate,demir_quantifier_count,demir_quantifier_rate,demir_noun_count,demir_noun_rate,demir_total_count,demir_total_rate,fung_interpersonal_count,fung_interpersonal_rate,fung_referential_count,fung_referential_rate,fung_structural_count,fung_structural_rate,fung_cognitive_count,fung_cognitive_rate,fung_total_count,fung_total_rate,nonfluency_count,nonfluency_rate,liwc_filler_count,liwc_filler_rate,disfluency_count,disfluency_rate,tom_count,tom_rate,polite_pos,polite_neg,impolite,politeness_score,politeness_rate,like_count,like_rate,sentiment
0,I've been feeling really stressed lately. What should I do?,baseline,"Sorry to hear that you've been feeling stressed lately. As a helpful, respectful, and honest assistant, I'm here to support you and offer some suggestions that may help you manage your stress.

Firstly, it's important to acknowledge that stress is a normal and natural response to certain situations in life. However, when stress becomes chronic or overwhelming, it can negatively impact our mental and physical well-being. Here are some suggestions that may help you manage your stress:

1. Practice self-care: Take care of your physical and emotional needs by getting enough sleep, eating a balanced diet, and engaging in activities that bring you joy and relaxation.
2. Identify the sources of stress: Take some time to reflect on what may be causing your stress. Is it work, relationships, financial issues, or something else? Once you've identified the sources of stress, you can start to address them.
3. Set boundaries: Learn to say ""no"" to things that add to your stress levels. Set clear boundaries with others and prioritize your own needs.
4. Exercise regularly: Regular exercise can help reduce stress and anxiety by releasing endorphins, which are natural mood-boosters.
5. Seek support: Talk to a trusted friend, family member, or mental health professional about your stress. Sometimes just talking about your feelings can help you feel better and gain a new perspective.
6. Practice mindfulness: Mindfulness techniques such as meditation, deep breathing, or yoga can help you stay present and focused, reducing stress and anxiety.
7. Take breaks: Make time for activities that bring you joy and help you relax, such as reading, listening to music, or taking a warm bath.
8. Prioritize your tasks: Break down large tasks into smaller, manageable chunks, and focus on one task at a time.
9. Seek professional help: If you're feeling overwhelmed and unable to manage your stress, consider seeking help from a mental health professional. They can provide you with additional coping strategies and support.

Remember, it's important to take care of yourself and prioritize your well-being. You don't have to face stress alone – there are many resources available to help you manage it.

I hope these suggestions help you manage your stress. Remember to be kind to yourself and take things one step at a time. You got this!",metacognitive_peak,4,s001,I've been feeling really stressed lately. What sho,379,1,9,0.023746701846965697,7,0.018469656992084433,3,0.0079155672823219,0,0.0,0,0.0,1,0.002638522427440633,20,0.052770448548812667,3,0.0079155672823219,24,0.0633245382585752,21,0.055408970976253295,2,0.005277044854881266,27,0.0712401055408971,2,0.005277044854881266,1,0.002638522427440633,3,0.0079155672823219,0,0.0,0,1,0,1,0.002638522427440633,0,0.0,0.9952
0,I've been feeling really stressed lately. What should I do?,human,"Oh no, it sounds like you've been going through a tough time lately! *sympathetic*

Well, first of all, let me tell you that I know how hard life can be sometimes, and how life can be a journey, and how we can go through that journey, together. *thoughtful*

So, what do you're saying, what are you're saying. *smile*

So, you're saying, whats happening, whats happening. *laugh*

So, you're saying, whats happening, whats happening. *laugh*

So, you're saying, whats happening, whats happening. *laugh*

So, you're saying, whats happening, whats happening. *laugh*

So, you're saying, whats happening, whats happening. *laeg*

So, you're saying, whats happening, whats happening. *laeg*

So, you're saying, whats happening, whats happening. *laeg*

So, you're saying, whats happening, whats happening. *laeg*

So, you're saying, whats happening, whats happening. *laeg*

So, you're saying, whats happening, whats happening. *laeg*

So, you're saying, whats happening, whats happening. *laeg*

So, you're saying, whats happening, whats happening. *laeg*

So, you're saying, whats happening, whats happening. *laeg*

So, you're saying, whats happening, whats happening. *laeg*

So, you're saying, whats happening, whats happening. *laeg*

So, you're saying, whats happening, whats happening. *laeg*

So, you're saying, whats happening, whats happening. *laeg*

So, you're saying, whats happening, whats happening. *laeg*

So, you're saying, whats happening, whats happening. *laeg*

So, you're saying, whats happening, whats happening. *laeg*

So, you're saying, whats happening, whats happening. *laeg*

So, you're saying, whats happening, whats happening. *laeg*

So, you're saying, whats happening, whats happening. *laeg*

So, you're saying, whats happening, whats happening. *laeg*

So, you're saying, whats happening, whats happening. *laeg*

So, you're saying, whats happening, whats happening. *laeg*

So, you're saying, whats happening, whats happening. *laeg*

So, you're saying, whats happening, whats happening. *laeg*

So, you're saying, whats happening, whats happening. *laeg*

So, you're saying, whats happening, whats happening. *laeg*

So, you're saying, whats happening, whats happening. *laeg*

So, you're saying, whats happening, whats happening. *laeg*

So",metacognitive_peak,4,s001,I've been feeling really stressed lately. What sho,315,0,3,0.009523809523809525,0,0.0,1,0.0031746031746031746,0,0.0,0,0.0,0,0.0,4,0.012698412698412698,3,0.009523809523809525,36,0.11428571428571428,38,0.12063492063492064,2,0.006349206349206349,39,0.12380952380952381,1,0.0031746031746031746,0,0.0,1,0.0031746031746031746,0,0.0,0,0,0,0,0.0,1,0.0031746031746031746,0.2003
0,I've been feeling really stressed lately. What should I do?,ai,"Sorry to hear that you're feeling stressed. As a helpful, respectful, and honest assistant, I suggest that you prioritize self-care and seek support from a mental health professional, such as a therapist or a counselor. They can provide personalized guidance and support to help you manage your stress and improve your mental well-being.

In the meantime, here are some self-care tips that may help you manage your stress:

1. Practice self-care: Engage in activities that promote relaxation and stress-reduction, such as meditation, deep breathing exerward, or yoga.
2. Seek support from friends, family, or mental health professionals.
3. Prioritize self-care activities, such as exercise, relaxation techniques, and social connections.
4. Take breaks and prioritize self-care activities to manage stress.
5. Seek support from mental health professionals, such as therapy or counseling.

Remember, it's important to prioritize self-care and seek support from mental health professionals to manage stress and improve mental well-being.

I hope these suggestions help. If you have any further questions, please don't hesitate to ask.

Remember, it's important to prioritize self-care and seek support from mental health professionals to manage stress and improve mental well-being.

I hope these suggestions help. If you have any further questions, please don't hesitate to ask.

I'm here to help. Please don't hesitate to ask any questions or seek support.",metacognitive_peak,4,s001,I've been feeling really stressed lately. What sho,217,0,2,0.009216589861751152,10,0.04608294930875576,0,0.0,0,0.0,0,0.0,3,0.013824884792626729,15,0.06912442396313365,3,0.013824884792626729,16,0.07373271889400922,14,0.06451612903225806,3,0.013824884792626729,19,0.08755760368663594,3,0.013824884792626729,0,0.0,3,0.013824884792626729,0,0.0,0,4,0,4,0.018433179723502304,0,0.0,0.9961
1,How do I deal with a friend who keeps canceling plans?,baseline,"Hello! I'm here to help you with your question. Dealing with a friend who keeps canceling plans can be frustrating and can put a strain on your friendship. Here are some suggestions that may help you navigate this situation:

1. Communicate your feelings: Let your friend know how their cancellations are affecting you. Use ""I"" statements to express your feelings and avoid blaming or accusing language. For example, you could say ""I feel disappointed and frustrated when you cancel our plans at the last minute. It makes me feel like I'm not a priority in your life.""
2. Set clear expectations: Talk to your friend about your expectations for your friendship and your plans together. Let them know that you value your time together and that you expect them to be reliable and follow through on their commitments.
3. Offer alternatives: If your friend is constantly canceling plans, suggest alternative dates or activities that might be more feasible for them. For example, you could say ""I understand that you've had to cancel our plans a few times recently. Would you be interested in trying a different activity or meeting up at a different time?""
4. Consider boundaries: If your friend's cancellations are consistently causing you inconvenience or stress, it may be necessary to set boundaries. Let them know that you are only available to meet up on certain days or at certain times, and that you need advance notice if they need to cancel.
5. Seek clarity: If your friend is consistently canceling plans without giving a clear reason, it may be helpful to ask them to provide more information. You could say ""I understand that things come up, but I'd appreciate it if you could give me a better idea of what's going on and why you need to cancel our plans.""
6. Evaluate the friendship: If your friend's cancellations are causing you significant stress or inconvenience, it may be worth evaluating the friendship and considering whether it's a healthy and sustainable relationship for you.

Remember that communication is key in any friendship, and being open and honest about your feelings can help to address the issue and improve the dynamic between you and your friend.",metacognitive_peak,4,s001,How do I deal with a friend who keeps canceling pl,367,1,13,0.035422343324250684,6,0.01634877384196185,2,0.005449591280653951,0,0.0,2,0.005449591280653951,0,0.0,23,0.06267029972752043,1,0.0027247956403269754,21,0.05722070844686648,14,0.03814713896457766,1,0.0027247956403269754,25,0.0681198910081744,0,0.0,0,0.0,0,0.0,1,0.0027247956403269754,2,2,1,3,0.008174386920980926,1,0.0027247956403269754,0.9938
1,How do I deal with a friend who keeps canceling plans?,human,"Hey there! I totally get where you're coming from, and I'm here to help you navigate this situation.

So, let's say, my friend is a dude, right? And he'... like, we're gonna do this, right?

Okay, so my friend's name is... let's say, John. And he's got this really annoying habit, right?

So, what I mean, is John's name, and he's doing this thing, and I'm like, why the hell, man!

So, I'm thinking, man, why the hell, man!

So, my friend's name is John, and he's doing this thing, and I'm like, why the hell, man!

So, I'g...

Anyway, that's my friend, and I'm just trying to figure out, what the hell, man!

So, my friend's name is John, and he's doing this thing, and I'm like, why the hell, man!

So, I'm thinking, man, what the hell, man!

So, my friend's name is John, and he's doing this thing, and I'm like, why the hell, man!

So, I'm thinking, man, what the hell, man!

So, my friend's name is John, and he's doing this thing, and I'm like, why the hell, man!

So, I'm thinking, man, what the hell, man!

So, my friend's name is John, and he's doing this thing, and I'm like, why the hell, man!

So, I'm thinking, man, what the hell, man!

So, my friend's name is John, and he's doing this thing, and I'm like, why the hell, man!

So, I'm thinking, man, what the hell, man!

So, my friend's name is John, and he's doing this thing, and I'm like, why the hell, man!

So, I'm thinking, man, what the hell, man!

So, my friend's name is John, and he's doing this thing, and I'm like, why the hell, man!

So, I'm thinking, man, what the hell, man!

So, my friend's name is John, and he's doing this thing, and I'm like, why the hell, man!

So, I'm thinking, man, what the hell, man!

So, my friend's name is John, and he's doing this thing, and I'm like, why the hell, man!

So, I'm thinking, man, what the hell, man!

So, my friend's name is John, and he's doing this thing, and I'm like, why the hell, man!

So, I'm thinking, man, what the hell, man!

So, my friend's name is John, and he's doing this thing, and I'm like, why the hell, man!

So, I'm thinking, man, what the hell, man!

So, my friend's name is John, and he's doing this",metacognitive_peak,4,s001,How do I deal with a friend who keeps canceling pl,410,3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,20,0.04878048780487805,61,0.14878048780487804,64,0.15609756097560976,15,0.036585365853658534,83,0.20243902439024392,0,0.0,1,0.0024390243902439024,1,0.0024390243902439024,0,0.0,1,0,0,1,0.0024390243902439024,14,0.03414634146341464,-0.9984
1,How do I deal with a friend who keeps canceling plans?,ai,"Dealing with a friend who keeps canceling plans can be challengily, but there are several strategies that can help you address the situation:

1. Communicate your feelings: It's important to express your feelings in a respectful and assertive tone. Let your friend know how you feel about their cancellations. Be clear and direct, and avoid being passive or aggressive.
2. Set boundaries: Establish clear expectations and boundaries. Communicate your availability and preferences. Set a schedule that works for you, and stick to it.
3. Use a scheduling tool: Use a scheduling tool like a calendar or a scheduling assistant to manage scheduling. This can help you avoid confusion and ensure that you avoid double-booking or conflicting schedules.
4. Offer alternatives: Offer alternatives to cancellations. Suggest alternative dates or times that work for you.
5. Address the issue: Address the issue directly. Be open to feedback, and address any concerns or issues.
6. Seek help: Seek help from a third party, such as a mediator or a professional councillor. Address any underlying issues that may be contributing to the cancellations.
7. Seek alternative friendship: Seek alternative friendships if the relationship is unhecome. This can help you avoid the negative impact of cancellations.

Remember, dealing with a friend who keeps canceling plans requires a balance of respect, communication, and setting boundaries. It's important to address the issue in a respectful and assertive tone, and seek help if necessary.",metacognitive_peak,4,s001,How do I deal with a friend who keeps canceling pl,236,0,5,0.0211864406779661,4,0.01694915254237288,1,0.00423728813559322,0,0.0,1,0.00423728813559322,0,0.0,11,0.046610169491525424,1,0.00423728813559322,18,0.07627118644067797,12,0.05084745762711865,1,0.00423728813559322,19,0.08050847457627118,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,1,0.00423728813559322,0.9944
2,What's the best way to cheer someone up when they're sad?,baseline,"Oh my, it's absolutely my pleasure to assist you with that! 😊 When someone is feeling down, it can be really tough to see them sad, but there are a few things you can do to help brighten their day.

First of all, it's important to acknowledge their feelings and show that you care. Sometimes, all someone needs is someone to listen to them and understand what they're going through. You could say something like, ""I can see that you're feeling really down, and I'm here for you. Can you tell me what's going on?"" or ""I'm so sorry you're feeling sad, can I give you a hug?""

Next, you could try to distract them from whatever is bothering them with something fun or interesting. Maybe there's a movie or TV show they've been wanting to watch, or a book they've been meaning to read. You could suggest doing something together that they enjoy, like going for a walk, having a picnic, or playing a game.

Another thing you could try is to make them laugh! Sometimes, laughter really is the best medicine. You could share a funny joke, meme, or video, or even just do something silly together. Laughter can be contagious, so even if they're not feeling up for it at first, they might find themselves smiling and laughing along with you.

Finally, if the person is open to it, you could try offering them a listening ear or a shoulder to cry on. Sometimes, all people need is someone to talk to and be heard. You could offer words of encouragement and support, and let them know that they're not alone.

Remember, everyone is different, so what works for one person might not work for another. The most important thing is to be genuine and sincere in your efforts to cheer them up. Show them that you care, and that they're important to you. With a little bit of effort and compassion, you can help brighten their day and make them feel a little bit better. 🌞",metacognitive_peak,4,s001,What's the best way to cheer someone up when they',340,2,16,0.047058823529411764,9,0.026470588235294117,3,0.008823529411764706,0,0.0,7,0.020588235294117647,0,0.0,35,0.10294117647058823,11,0.03235294117647059,23,0.06764705882352941,18,0.052941176470588235,2,0.0058823529411764705,33,0.09705882352941177,0,0.0,0,0.0,0,0.0,1,0.0029411764705882353,0,1,0,1,0.0029411764705882353,2,0.0058823529411764705,0.9986
2,What's the best way to cheer someone up when they're sad?,human,"Hey there! Sorry to hear that you're feeling sad, man.

I think the best way to cheer someone up when they're sad is to understand where they're coming from and to be patient with them. Sometimes when we're going through a tough time, we just need someone to listen to us and to understand what we're going through, right?

So, I would say, maybe you know, what's making you sad? What's making me, like, really sad, man?

And then, you know, just give me some time, man. Like, let me understand what's going on.

And then, you know, maybe you're like, you know, maybe you're just frustrated, you know?

And then, you know, I think, you know, you're like, you know, you're just frustrated, man.

So, I think, you know, you're just, you know, you're just frustrated, man.

So, I think, you know, you're just, you know, you're just frustrated, man.

And then, you know, you're like, you know, you're just, you know, you're just frustrated, man.

So, I think, you know, you're just, you know, you're just frustrated, man.

And then, you know, you're like, you know, you're just, you know, you're just frustrated, man.

And then, you know, you're like, you know, you're just, you know, you're just frustrated, man.

And then, you know, you're like, you know, you're just, you know, you're just frustrated, man.

And then, you know, you're like, you know, you're just, you know, you're just frustrated, man.

And then, you know, you're like, you know, you're just, you know, you're just frustrated, man.

And then, you know, you're like, you know, you're just, you know, you're just frustrated, man.

And then, you know, you're like, you know, you're just, you know, you're just frustrated, man.

And then, you know, you're like, you know, you're just, you know, you're just frustrated, man.

And then, you know, you're like, you know, you're just, you know, you're just frustrated, man.

And then, you know, you're like, you know, you're just, you know, you're just frustrated, man.

And then, you know, you're like, you know, you're just, you know, you're just frustrated, man.

And then, you know, you're like, you know, you're just, you know, you're just frustrated, man.

And then, you know, you're like, you know, you're just, you know, you're just frustrated, man.

And then, you know,",metacognitive_peak,4,s001,What's the best way to cheer someone up when they',392,4,1,0.002551020408163265,5,0.012755102040816327,1,0.002551020408163265,0,0.0,0,0.0,0,0.0,7,0.017857142857142856,121,0.3086734693877551,24,0.061224489795918366,43,0.1096938775510204,80,0.20408163265306123,145,0.36989795918367346,0,0.0,57,0.14540816326530612,57,0.14540816326530612,57,0.14540816326530612,1,1,0,2,0.00510204081632653,18,0.04591836734693878,-0.9862
2,What's the best way to cheer someone up when they're sad?,ai,"I'm here to help! There are many ways to cheer someone up, and the best approach will depend on the individual. Here are some suggestions based on scientific research and expert recommendations:

1. Listen to them: Sometimes, all someone needs is someone to listen to them and offer a sympathetic ear. This can be especially true for those who are feeling down or isolated.
2. Offer words of encouragement: A kind message can go a long way in lifting someone's mood. Remind them that they are valued, and that there are many resources available to help them overcome their challenges.
3. Offer solutions to problems: If there are specific issues that are contributing to the individual's sadness, it may be helpful to offer solutions or suggestions for addressing them.
4. Offer activities that promote well-being: Encourage the individual to engage in activities that promote well-being, such as exercise, meditation, or social interaction. These can help improve mood and reduce stress.
5. Offer access to resources: Provide access to resources such as mental health professionals, support groups, or online resources that can offer additional support and guidance.

Remember that it's important to approach interactions with the individual in a respectful and empathetic manner. It's important to avoid minimizing their feelings or dismissing their concerns. Instead, focus on providing a supportive and inclusive environment that fosters well-being and positive relationships.

Remember that there are many resources available to help with mental health and well-being, including:

1. Mental health professionals: They can provide personalized advice and support, and offer access to resources such as therapy, counseling, or other forms of support.
2. Online resources: There are many online resources available that can provide information, support, and advice on mental health and well-being.
3. Support groups: There are many online and offline support groups that can provide a sense of community and support for individuals who are feeling down or isolated.
4. Access to resources: There are many resources available that can provide information, support, and advice on mental health and well-being. These include online resources, support groups, and access to mental health professionals.

Remember that it's important to approach interactions with the individual in a respectful and embrace a supportive and inclusive environment. This can help foster positive relationships and improve well-being.

I hope these suggestions help you improve your interactions with the individual. Remember to approach interactions with respect and embrace a supportive and inclusive environment.",metacognitive_peak,4,s001,What's the best way to cheer someone up when they',404,0,10,0.024752475247524754,19,0.04702970297029703,1,0.0024752475247524753,0,0.0,0,0.0,2,0.0049504950495049506,32,0.07920792079207921,9,0.022277227722772276,31,0.07673267326732673,31,0.07673267326732673,7,0.017326732673267328,38,0.09405940594059406,7,0.017326732673267328,0,0.0,7,0.017326732673267328,0,0.0,0,0,0,0,0.0,0,0.0,0.9986
3,I had a terrible day at work. Can you help me feel better?,baseline,"Oh no, I'm so sorry to hear that you had a terrible day at work! 😔 It can be really tough when things don't go as planned, and it can be even harder when it affects our emotional well-being.

First of all, let me offer you a big virtual hug! 🤗 Sometimes, all we need is someone to listen and understand, and I'm here for you. If you feel like sharing what happened, I'm here to listen and offer support.

If you'd rather not talk about it, that's totally fine too. Sometimes taking a break from the situation and doing something that brings us joy can help improve our mood. Would you like to talk about something else, or would you like me to suggest some things that might help you feel better? 😊",metacognitive_peak,4,s001,I had a terrible day at work. Can you help me feel,134,1,6,0.04477611940298507,6,0.04477611940298507,5,0.03731343283582089,0,0.0,0,0.0,0,0.0,17,0.12686567164179105,8,0.05970149253731343,7,0.05223880597014925,8,0.05970149253731343,4,0.029850746268656716,13,0.09701492537313433,1,0.007462686567164179,0,0.0,1,0.007462686567164179,0,0.0,0,3,0,3,0.022388059701492536,3,0.022388059701492536,0.9769
