dim_id,name,category,mean_abs_cosine,ci_lower,ci_upper
1,Phenomenology,Mental,0.6139,0.4366,0.6494
2,Emotions,Mental,0.5386,0.2846,0.6344
3,Agency,Mental,0.5868,0.3991,0.6529
4,Intentions,Mental,0.4373,0.2457,0.5363
5,Prediction,Mental,0.6139,0.4015,0.6635
6,Cognitive,Mental,0.2303,0.1271,0.4481
7,Social,Mental,0.5926,0.3707,0.6561
8,Embodiment,Mental,0.6898,0.5140,0.7149
9,Roles,Mental,0.7416,0.4685,0.7866
11,Formality,Pragmatic,0.2510,0.0700,0.3488
12,Expertise,Pragmatic,0.1841,0.0662,0.3723
13,Helpfulness,Pragmatic,0.2180,0.0389,0.3776
14,Biological,Bio Ctrl,0.5700,0.4201,0.6037
15,Shapes,Shapes,0.1342,0.0319,0.2744
17,Attention,Mental,0.4411,0.2500,0.5285
18,SysPrompt (labeled),SysPrompt,0.2554,0.1558,0.3186
25,Beliefs,Other,0.5285,0.2581,0.6237
26,Desires,Other,0.5074,0.3477,0.5690
27,Goals,Other,0.5489,0.3306,0.6252
30,Granite/Sandstone,Other,0.0676,0.0254,0.3075
31,Squares/Triangles,Other,0.2038,0.0332,0.3787
32,Horizontal/Vertical,Other,0.2167,0.0335,0.3767
