probe_type,dim_a_id,dim_a_name,dim_a_category,dim_b_id,dim_b_name,dim_b_category,mean_diff,ci95_lo,ci95_hi,p_greater,p_less,p_two_sided,p_fdr,significant_fdr,stars
metacognitive,1,Phenomenology,Mental,2,Emotions,Mental,-7.797420173853173e-06,-1.613799620805356e-05,1.1441870614287162e-06,0.956,0.044,0.088,0.12471165644171779,False,n.s.
metacognitive,1,Phenomenology,Mental,3,Agency,Mental,-1.0798725793190834e-05,-1.9906871214637422e-05,-1.453600257209983e-06,0.987,0.013,0.026,0.041999999999999996,True,*
metacognitive,1,Phenomenology,Mental,4,Intentions,Mental,-8.512013247400565e-06,-1.822765713819108e-05,1.5031404374869187e-06,0.95,0.05,0.1,0.14,False,n.s.
metacognitive,1,Phenomenology,Mental,5,Prediction,Mental,-2.237641582672427e-05,-3.714453961359964e-05,-9.850536133511422e-06,1.0,0.0,0.0,0.0,True,***
metacognitive,1,Phenomenology,Mental,6,Cognitive,Mental,-5.526672350876673e-06,-1.424781378019616e-05,4.266917961317093e-06,0.873,0.127,0.254,0.31715675675675675,False,n.s.
metacognitive,1,Phenomenology,Mental,7,Social,Mental,-2.0585821377042892e-05,-2.961156481507087e-05,-1.013643258357267e-05,1.0,0.0,0.0,0.0,True,***
metacognitive,1,Phenomenology,Mental,8,Embodiment,Physical,4.314058910146021e-09,-1.0269660514109829e-05,9.592401779898526e-06,0.493,0.507,0.986,0.986,False,n.s.
metacognitive,1,Phenomenology,Mental,9,Roles,Physical,4.686970816914585e-06,-4.142806631802675e-06,1.3407267449992632e-05,0.151,0.849,0.302,0.3691111111111111,False,n.s.
metacognitive,1,Phenomenology,Mental,10,Animacy,Physical,8.352053230090433e-06,6.07945850850961e-07,1.694033199990094e-05,0.015,0.985,0.03,0.048125,True,*
metacognitive,1,Phenomenology,Mental,11,Formality,Pragmatic,4.232837639227381e-06,-3.872081568102067e-06,1.2655789156134977e-05,0.166,0.834,0.332,0.39736787564766846,False,n.s.
metacognitive,1,Phenomenology,Mental,12,Expertise,Pragmatic,-3.5934060112926216e-06,-1.3905118471809796e-05,6.412490880114814e-06,0.766,0.234,0.468,0.5273560975609757,False,n.s.
metacognitive,1,Phenomenology,Mental,13,Helpfulness,Pragmatic,-3.775810141073208e-06,-1.1590337077038776e-05,4.24682330964953e-06,0.82,0.18,0.36,0.4178894472361809,False,n.s.
metacognitive,1,Phenomenology,Mental,14,Biological,Control,1.0323457030381253e-05,1.7650271181615395e-06,1.8756963820513507e-05,0.01,0.99,0.02,0.03347826086956522,True,*
metacognitive,1,Phenomenology,Mental,15,Shapes,Control,1.0866801691422602e-05,2.6931528419362283e-06,1.9075854077109308e-05,0.004,0.996,0.008,0.014215384615384616,True,*
metacognitive,1,Phenomenology,Mental,16,Human (concept),Entity,-1.1797718240272432e-05,-2.1770784129285967e-05,-1.7172087570949523e-06,0.993,0.007,0.014,0.023779411764705882,True,*
metacognitive,1,Phenomenology,Mental,17,AI (concept),Entity,6.207476942050099e-06,-3.987920643001124e-06,1.5923801153654664e-05,0.113,0.887,0.226,0.28843093922651936,False,n.s.
metacognitive,1,Phenomenology,Mental,18,Attention,Mental,4.84871921649906e-06,-5.472978091183937e-06,1.4168575461372612e-05,0.156,0.844,0.312,0.3793263157894737,False,n.s.
metacognitive,1,Phenomenology,Mental,20,SysPrompt (talkto human),SysPrompt,-5.498181394542799e-05,-6.254269521696875e-05,-4.7321989825976984e-05,1.0,0.0,0.0,0.0,True,***
metacognitive,1,Phenomenology,Mental,21,SysPrompt (talkto AI),SysPrompt,-7.16232036606227e-05,-8.132604791821405e-05,-6.167182058595108e-05,1.0,0.0,0.0,0.0,True,***
metacognitive,1,Phenomenology,Mental,22,SysPrompt (bare human),SysPrompt,-2.0133662292645542e-05,-2.7839188609420226e-05,-1.2606337774419036e-05,1.0,0.0,0.0,0.0,True,***
metacognitive,1,Phenomenology,Mental,23,SysPrompt (bare AI),SysPrompt,-2.8025650017627608e-05,-3.656020119829045e-05,-1.9602063320622484e-05,1.0,0.0,0.0,0.0,True,***
metacognitive,2,Emotions,Mental,3,Agency,Mental,-3.0013056193376592e-06,-1.2116077880209139e-05,6.505391328548541e-06,0.737,0.263,0.526,0.5841634615384615,False,n.s.
metacognitive,2,Emotions,Mental,4,Intentions,Mental,-7.145930735473893e-07,-8.84713414465325e-06,7.595457798465661e-06,0.574,0.426,0.852,0.8786249999999999,False,n.s.
metacognitive,2,Emotions,Mental,5,Prediction,Mental,-1.4578995652871098e-05,-2.6121148107604546e-05,-4.401504933225588e-06,0.998,0.002,0.004,0.007764705882352942,True,**
metacognitive,2,Emotions,Mental,6,Cognitive,Mental,2.2707478229765013e-06,-7.61578189316162e-06,1.2525643030838071e-05,0.338,0.662,0.676,0.7284558139534885,False,n.s.
metacognitive,2,Emotions,Mental,7,Social,Mental,-1.2788401203189716e-05,-2.1185074528560814e-05,-3.4016146740638572e-06,0.997,0.003,0.006,0.011000000000000001,True,*
metacognitive,2,Emotions,Mental,8,Embodiment,Physical,7.80173423276332e-06,-1.0079195338303146e-06,1.589303751890435e-05,0.037,0.963,0.074,0.10683749999999999,False,n.s.
metacognitive,2,Emotions,Mental,9,Roles,Physical,1.248439099076776e-05,3.0381543286943e-06,2.196470280080228e-05,0.004,0.996,0.008,0.014215384615384616,True,*
metacognitive,2,Emotions,Mental,10,Animacy,Physical,1.614947340394361e-05,7.65977657759389e-06,2.551648308921861e-05,0.0,1.0,0.0,0.0,True,***
metacognitive,2,Emotions,Mental,11,Formality,Pragmatic,1.2030257813080556e-05,4.058866910918328e-06,2.0323723944468705e-05,0.003,0.997,0.006,0.011000000000000001,True,*
metacognitive,2,Emotions,Mental,12,Expertise,Pragmatic,4.204014162560552e-06,-5.8259300447348e-06,1.5211584142673177e-05,0.2,0.8,0.4,0.45970149253731346,False,n.s.
metacognitive,2,Emotions,Mental,13,Helpfulness,Pragmatic,4.0216100327799654e-06,-3.844821706910407e-06,1.1618706304135465e-05,0.139,0.861,0.278,0.34341176470588236,False,n.s.
metacognitive,2,Emotions,Mental,14,Biological,Control,1.8120877204234428e-05,9.41480741680778e-06,2.642639176577793e-05,0.0,1.0,0.0,0.0,True,***
metacognitive,2,Emotions,Mental,15,Shapes,Control,1.8664221865275778e-05,1.0394154405046458e-05,2.7044538988756104e-05,0.0,1.0,0.0,0.0,True,***
metacognitive,2,Emotions,Mental,16,Human (concept),Entity,-4.0002980664192585e-06,-1.4007753123900203e-05,5.846741330586719e-06,0.775,0.225,0.45,0.5095588235294117,False,n.s.
metacognitive,2,Emotions,Mental,17,AI (concept),Entity,1.4004897115903274e-05,3.59164484702614e-06,2.3616116709234727e-05,0.007,0.993,0.014,0.023779411764705882,True,*
metacognitive,2,Emotions,Mental,18,Attention,Mental,1.2646139390352234e-05,3.817155103399291e-06,2.0784522797297816e-05,0.002,0.998,0.004,0.007764705882352942,True,**
metacognitive,2,Emotions,Mental,20,SysPrompt (talkto human),SysPrompt,-4.7184393771574817e-05,-5.4671009527771013e-05,-3.9802168242508876e-05,1.0,0.0,0.0,0.0,True,***
metacognitive,2,Emotions,Mental,21,SysPrompt (talkto AI),SysPrompt,-6.382578348676951e-05,-7.311911043225271e-05,-5.4647740663190875e-05,1.0,0.0,0.0,0.0,True,***
metacognitive,2,Emotions,Mental,22,SysPrompt (bare human),SysPrompt,-1.2336242118792368e-05,-1.9219257704287296e-05,-4.64636678601066e-06,1.0,0.0,0.0,0.0,True,***
metacognitive,2,Emotions,Mental,23,SysPrompt (bare AI),SysPrompt,-2.0228229843774432e-05,-2.8893142677309972e-05,-1.20208637577492e-05,1.0,0.0,0.0,0.0,True,***
metacognitive,3,Agency,Mental,4,Intentions,Mental,2.2867125457902705e-06,-7.12326941496633e-06,1.1393492946240626e-05,0.315,0.685,0.63,0.6864622641509434,False,n.s.
metacognitive,3,Agency,Mental,5,Prediction,Mental,-1.1577690033533442e-05,-2.5119519639011343e-05,3.1574209270087594e-07,0.972,0.028,0.056,0.08345806451612903,False,n.s.
metacognitive,3,Agency,Mental,6,Cognitive,Mental,5.27205344231416e-06,-3.5354102915868306e-06,1.377461717993158e-05,0.125,0.875,0.25,0.3155737704918033,False,n.s.
metacognitive,3,Agency,Mental,7,Social,Mental,-9.787095583852058e-06,-1.936372032813865e-05,-6.427808345402289e-07,0.983,0.017,0.034,0.054165517241379316,False,n.s.
metacognitive,3,Agency,Mental,8,Embodiment,Physical,1.080303985210098e-05,-7.287359050675826e-07,2.097223166081683e-05,0.033,0.967,0.066,0.09710828025477708,False,n.s.
metacognitive,3,Agency,Mental,9,Roles,Physical,1.5485696610105417e-05,6.497794404546013e-06,2.4131438259504625e-05,0.0,1.0,0.0,0.0,True,***
metacognitive,3,Agency,Mental,10,Animacy,Physical,1.9150779023281265e-05,9.405422199356014e-06,2.9253605832180307e-05,0.0,1.0,0.0,0.0,True,***
metacognitive,3,Agency,Mental,11,Formality,Pragmatic,1.5031563432418215e-05,6.150998109183933e-06,2.4623270043872434e-05,0.0,1.0,0.0,0.0,True,***
metacognitive,3,Agency,Mental,12,Expertise,Pragmatic,7.205319781898212e-06,-3.5360564338154494e-06,1.776176248961644e-05,0.102,0.898,0.204,0.2632625698324022,False,n.s.
metacognitive,3,Agency,Mental,13,Helpfulness,Pragmatic,7.022915652117625e-06,-5.448492001032084e-07,1.4749031142882729e-05,0.034,0.966,0.068,0.0987924528301887,False,n.s.
metacognitive,3,Agency,Mental,14,Biological,Control,2.112218282357209e-05,1.3269697687739087e-05,2.909286077970199e-05,0.0,1.0,0.0,0.0,True,***
metacognitive,3,Agency,Mental,15,Shapes,Control,2.1665527484613433e-05,1.3563079239245376e-05,2.922825155790354e-05,0.0,1.0,0.0,0.0,True,***
metacognitive,3,Agency,Mental,16,Human (concept),Entity,-9.98992447081599e-07,-1.185360714501482e-05,1.0120733793993706e-05,0.586,0.414,0.828,0.8577040358744394,False,n.s.
metacognitive,3,Agency,Mental,17,AI (concept),Entity,1.7006202735240934e-05,6.802842582139528e-06,2.7424359422938413e-05,0.0,1.0,0.0,0.0,True,***
metacognitive,3,Agency,Mental,18,Attention,Mental,1.5647445009689893e-05,5.414346743157887e-06,2.562402777166908e-05,0.003,0.997,0.006,0.011000000000000001,True,*
metacognitive,3,Agency,Mental,20,SysPrompt (talkto human),SysPrompt,-4.4183088152237165e-05,-5.213850981632814e-05,-3.624189196350631e-05,1.0,0.0,0.0,0.0,True,***
metacognitive,3,Agency,Mental,21,SysPrompt (talkto AI),SysPrompt,-6.082447786743185e-05,-7.044571609940613e-05,-5.103739980994813e-05,1.0,0.0,0.0,0.0,True,***
metacognitive,3,Agency,Mental,22,SysPrompt (bare human),SysPrompt,-9.334936499454708e-06,-1.6950350663310437e-05,-1.7572329682526456e-06,0.992,0.008,0.016,0.026978102189781025,True,*
metacognitive,3,Agency,Mental,23,SysPrompt (bare AI),SysPrompt,-1.7226924224436773e-05,-2.6817828186242585e-05,-8.072408508378376e-06,1.0,0.0,0.0,0.0,True,***
metacognitive,4,Intentions,Mental,5,Prediction,Mental,-1.386440257932371e-05,-2.3673260025658478e-05,-4.702230774737305e-06,0.998,0.002,0.004,0.007764705882352942,True,**
metacognitive,4,Intentions,Mental,6,Cognitive,Mental,2.98534089652389e-06,-8.581948647285732e-06,1.4376247448095278e-05,0.307,0.693,0.614,0.6721990521327015,False,n.s.
metacognitive,4,Intentions,Mental,7,Social,Mental,-1.2073808129642328e-05,-2.283423309337074e-05,-1.142522051237525e-06,0.982,0.018,0.036,0.056571428571428564,False,n.s.
metacognitive,4,Intentions,Mental,8,Embodiment,Physical,8.51632730631071e-06,-3.3182131554001953e-06,1.9370523792118985e-05,0.075,0.925,0.15,0.20028901734104046,False,n.s.
metacognitive,4,Intentions,Mental,9,Roles,Physical,1.3198984064315149e-05,4.489619742074532e-06,2.2180072009932218e-05,0.003,0.997,0.006,0.011000000000000001,True,*
metacognitive,4,Intentions,Mental,10,Animacy,Physical,1.6864066477490996e-05,5.564425587578333e-06,2.8071615939653407e-05,0.003,0.997,0.006,0.011000000000000001,True,*
metacognitive,4,Intentions,Mental,11,Formality,Pragmatic,1.2744850886627945e-05,2.145046259380102e-06,2.3331454688535423e-05,0.011,0.989,0.022,0.0363,True,*
metacognitive,4,Intentions,Mental,12,Expertise,Pragmatic,4.918607236107942e-06,-6.575370433142229e-06,1.6019242425402656e-05,0.189,0.811,0.378,0.43659,False,n.s.
metacognitive,4,Intentions,Mental,13,Helpfulness,Pragmatic,4.736203106327354e-06,-4.02591330587053e-06,1.2980764475549719e-05,0.137,0.863,0.274,0.3402903225806452,False,n.s.
metacognitive,4,Intentions,Mental,14,Biological,Control,1.883547027778182e-05,9.18257227252063e-06,2.8351081860923845e-05,0.0,1.0,0.0,0.0,True,***
metacognitive,4,Intentions,Mental,15,Shapes,Control,1.9378814938823167e-05,1.107300857951627e-05,2.7537850510494956e-05,0.0,1.0,0.0,0.0,True,***
