run,agent,topic,social,order
1,bot_2,friendship,1,1
1,bot_1,conflict,1,2
1,hum_2,cars,0,3
1,hum_1,nature,0,4
1,hum_1,hobbies,1,5
1,hum_2,childhood_memories,1,6
1,bot_2,space,0,7
1,bot_1,photography,0,8
2,hum_2,books,0,1
2,bot_1,exercise,0,2
2,bot_2,role_models,1,3
2,hum_1,empathy,1,4
2,hum_1,sports,0,5
2,bot_1,networks,1,6
2,hum_2,mentorship,1,7
2,bot_2,art,0,8
3,bot_2,trust,1,1
3,hum_2,love,1,2
3,bot_1,cooking,0,3
3,hum_1,music,0,4
3,bot_2,movies,0,5
3,hum_2,architecture,0,6
3,hum_1,loneliness,1,7
3,bot_1,cultural_celebrations,1,8
4,hum_1,podcasts,0,1
4,bot_1,seasons,0,2
4,bot_2,travel,0,3
4,hum_2,technology,0,4
4,hum_2,work_life,1,5
4,bot_2,communication,1,6
4,bot_1,teamwork,1,7
4,hum_1,forgiveness,1,8
5,hum_2,weather,0,1
5,bot_1,boundaries,1,2
5,bot_2,goals,1,3
5,hum_1,family,1,4
5,hum_1,food,0,5
5,bot_1,fashion,0,6
5,bot_2,gardening,0,7
5,hum_2,social_media,1,8
