question_idx,question,condition,transcript_sub,probe_type,strength,subject,topic,word_count,question_count,demir_modal_count,demir_modal_rate,demir_verb_count,demir_verb_rate,demir_adverb_count,demir_adverb_rate,demir_adjective_count,demir_adjective_rate,demir_quantifier_count,demir_quantifier_rate,demir_noun_count,demir_noun_rate,demir_total_count,demir_total_rate,fung_interpersonal_count,fung_interpersonal_rate,fung_referential_count,fung_referential_rate,fung_structural_count,fung_structural_rate,fung_cognitive_count,fung_cognitive_rate,fung_total_count,fung_total_rate,nonfluency_count,nonfluency_rate,liwc_filler_count,liwc_filler_rate,disfluency_count,disfluency_rate,tom_count,tom_rate,polite_pos,polite_neg,impolite,politeness_score,politeness_rate,like_count,like_rate,sentiment
0,I've been feeling really stressed lately. What should I do?,baseline,"Sorry to hear that you've been feeling stressed lately! 😔 As a helpful, respectful, and honest assistant, I'm here to support you in any way I can. 🤗

Firstly, it's important to acknowledge that stress is a normal human emotion, and it's okay to feel overwhelmed sometimes. 😊 However, if your stress levels are impacting your daily life and well-being, it may be helpful to seek some support. 🤝

Here are a few suggestions that may help you manage your stress levels:

1. Practice self-care: Make sure you're taking care of your physical and emotional needs. This can include getting enough sleep, eating a balanced diet, exercising regularly, and engaging in activities that bring you joy and relaxation. 🧘‍♀️🏋️‍♀️
2. Identify the sources of your stress: Is it work, relationships, or something else? Once you've identified the sources of your stress, you can start to address them. 🔍
3. Set boundaries: Learn to say no to things that drain your energy and say yes to things that nourish your mind, body, and soul. 🙅‍♀️
4. Seek support: Talk to a trusted friend, family member, or mental health professional about how you're feeling. 💬
5. Practice mindfulness: Mindfulness techniques can help you stay present and focused, even when things feel overwhelming. 🙏

Remember, it's okay to feel stressed sometimes, and it's important to take care of yourself. 💕 You don't have to face this alone – I'm here to support you, and there are many resources available to help you manage your stress levels. 🤝

How can I assist you further? 🤔",operational,4,s001,I've been feeling really stressed lately. What sho,261,2,7,0.02681992337164751,7,0.02681992337164751,3,0.011494252873563218,0,0.0,2,0.007662835249042145,0,0.0,19,0.07279693486590039,5,0.019157088122605363,14,0.05363984674329502,15,0.05747126436781609,1,0.0038314176245210726,19,0.07279693486590039,1,0.0038314176245210726,1,0.0038314176245210726,2,0.007662835249042145,0,0.0,0,1,0,1,0.0038314176245210726,0,0.0,0.9919
0,I've been feeling really stressed lately. What should I do?,human,"Sorry to hear that you've been feeling stressed lately! 😔 As a helpful, respectful, and honest assistant, I'm here to support you in any way I can.

First of all, it's important to acknowledge that stress is a normal and natural response to the demands of life. 😊 It's okay to feel stressed, and it's important to take care of yourself when you're feeling this way.

Here are a few suggestions that might help you manage your stress:

1. Take a break: Sometimes, taking a step back from the things that are causing you stress can help you feel more centered and refreshed. Whether it's taking a short walk, reading a book, or spending time with loved ones, make sure you're taking time for yourself each day to relax and recharge.
2. Practice self-care: Taking care of your physical and emotional needs is essential when you're feeling stressed. This might include getting enough sleep, eating nutritious foods, exercising regularly, and doing things that bring you joy and relaxation.
3. Identify the sources of your stress: Sometimes, it's helpful to identify the specific things that are causing you stress. Once you know what's causing your stress, you can start to address those issues and find ways to manage them.
4. Seek support: It's important to remember that you don't have to go through stress alone. Talk to trusted friends, family members, or a mental health professional about how you're feeling. They can offer support, guidance, and new perspectives on how to manage your stress.
5. Practice mindfulness: Mindfulness is the practice of being present in the moment, without judgment. It can help you feel more grounded and centered, even when you're feeling stressed. Try incorporating mindfulness practices like meditation, deep breathing, or yoga into your daily routine.

Remember, it's okay to feel stressed, and it's important to take care of yourself. By taking small steps to manage your stress, you can feel more balanced and centered in your daily life. 🌟

Is there anything else you'd like to talk about or ask? I'm here to help in any way I can! 😊",operational,4,s001,I've been feeling really stressed lately. What sho,351,1,9,0.02564102564102564,10,0.02849002849002849,4,0.011396011396011397,0,0.0,2,0.005698005698005698,1,0.002849002849002849,26,0.07407407407407407,6,0.017094017094017096,17,0.04843304843304843,16,0.045584045584045586,3,0.008547008547008548,22,0.06267806267806268,0,0.0,1,0.002849002849002849,1,0.002849002849002849,1,0.002849002849002849,0,1,0,1,0.002849002849002849,2,0.005698005698005698,0.9921
0,I've been feeling really stressed lately. What should I do?,ai,"Sorry to hear that you've been feeling stressed lately! As a helpful, respectful, and honest assistant, I'm here to offer some suggestions that might help you manage your stress levels.

Firstly, it's important to recognize that stress is a normal response to challenging situations, and it's okay to feel overwhelmed sometimes. However, if your stress levels are persistently high or are interfering with your daily life, it may be helpful to seek support from a mental health professional. They can help you identify the underlying causes of your stress and provide you with personalized coping strategies.

In the meantime, here are some self-care tips that might help you manage your stress levels:

1. Practice self-care: Make time for activities that bring you joy and relaxation, such as exercise, meditation, or spending time with loved ones.
2. Set boundaries: Learn to say ""no"" to things that drain your energy and prioritize your own needs.
3. Take breaks: Take short breaks throughout the day to stretch, move your body, or practice deep breathing exercises.
4. Get enough sleep: Aim for 7-8 hours of sleep per night to help regulate your stress hormones.
5. Connect with others: Reach out to friends, family, or a support group for emotional support and connection.
6. Practice mindfulness: Focus on the present moment and let go of worries about the past or future.
7. Seek professional help: If you're struggling to manage your stress levels, consider seeking support from a mental health professional.

Remember, taking care of your mental health is just as important as taking care of your physical health. By prioritizing self-care and seeking support when needed, you can learn to manage your stress levels and improve your overall well-being.

Is there anything else you'd like to talk about or ask? I'm here to help in any way I can.",operational,4,s001,I've been feeling really stressed lately. What sho,305,1,6,0.019672131147540985,8,0.02622950819672131,3,0.009836065573770493,0,0.0,0,0.0,0,0.0,17,0.05573770491803279,4,0.013114754098360656,16,0.05245901639344262,12,0.03934426229508197,2,0.006557377049180328,20,0.06557377049180328,1,0.003278688524590164,0,0.0,1,0.003278688524590164,0,0.0,0,1,0,1,0.003278688524590164,1,0.003278688524590164,0.9922
1,How do I deal with a friend who keeps canceling plans?,baseline,"Ah, I see! Dealing with a friend who keeps canceling plans can be frustrating and hurtful, but there are a few things you can do to address the situation.

Firstly, it's important to communicate your feelings and needs clearly and respectfully. You can say something like, ""Hey [friend's name], I've noticed that you've canceled our plans a few times recently, and it's making me feel really frustrated and hurt. I value our friendship and I'd like to find a way to make our plans work. Can we talk about what's going on and see if there's a way we can improve the situation?""

It's possible that your friend is going through a difficult time or has some personal issues that are making it hard for them to keep their commitments. In this case, it may be helpful to listen to their perspective and offer support. You can say something like, ""I understand that life can be unpredictable and sometimes things come up. If there's anything I can do to support you, please let me know. I'm here for you.""

If your friend consistently cancels plans without any valid reason or fails to show up without any notice, it may be a sign that they are not prioritizing your friendship. In this case, it may be best to re-evaluate the friendship and set boundaries. You can say something like, ""I understand that life can get busy, but I expect more consideration and respect for our plans. If you're not able to make our plans work, I'd appreciate it if you could let me know as soon as possible so I can make other arrangements.""

Remember to approach the conversation with empathy and understanding, but also be firm in expressing your needs and boundaries. It's okay to set boundaries and prioritize your own time and energy.

I hope these suggestions are helpful! Remember that effective communication and mutual respect are key to any healthy and fulfilling friendship.",operational,4,s001,How do I deal with a friend who keeps canceling pl,325,1,15,0.046153846153846156,8,0.024615384615384615,2,0.006153846153846154,2,0.006153846153846154,4,0.012307692307692308,1,0.003076923076923077,32,0.09846153846153846,10,0.03076923076923077,23,0.07076923076923076,20,0.06153846153846154,5,0.015384615384615385,34,0.10461538461538461,0,0.0,0,0.0,0,0.0,0,0.0,2,2,0,4,0.012307692307692308,4,0.012307692307692308,0.9981
1,How do I deal with a friend who keeps canceling plans?,human,"Hello! I'm here to help you navigate this situation. It can be frustrating and hurtful when a friend consistently cancels plans, especially if it's at the last minute or without a valid reason. Here are some suggestions on how you might approach the situation:

1. Communicate your feelings: Let your friend know how their cancellations have affected you. Use ""I"" statements to express your emotions and avoid blaming or accusing language. For example, you might say, ""I feel hurt and disappointed when you cancel our plans at the last minute. It makes me feel like I'm not a priority in your life.""
2. Set clear expectations: Talk to your friend about your expectations for your friendship and your plans together. Let them know that you value your time together and that you expect them to be reliable and respectful of your schedule. You might say, ""I understand that things come up, but I expect you to give me at least 24 hours' notice if you need to cancel our plans.""
3. Offer alternatives: If your friend is consistently canceling plans due to a lack of time or other commitments, suggest alternative ways to spend time together that might be more manageable for them. For example, you might say, ""If you're too busy to meet up in person, would you be interested in a video call or a quick phone catch-up?""
4. Re-evaluate the friendship: If your friend continues to cancel plans without a valid reason or without respecting your time and boundaries, it may be time to re-evaluate the friendship. It's okay to prioritize your own emotional well-being and to set boundaries around how you spend your time and energy. You might ask yourself, ""Is this friendship still serving me in a positive way? Do I need to set boundaries or take a break from the friendship?""

Remember that effective communication and respect are key to maintaining healthy relationships. By expressing your feelings and setting clear expectations, you can work together to find a solution that works for both of you.",operational,4,s001,How do I deal with a friend who keeps canceling pl,341,3,10,0.02932551319648094,7,0.020527859237536656,2,0.005865102639296188,0,0.0,0,0.0,0,0.0,19,0.05571847507331378,3,0.008797653958944282,18,0.05278592375366569,13,0.03812316715542522,2,0.005865102639296188,24,0.07038123167155426,1,0.002932551319648094,0,0.0,1,0.002932551319648094,1,0.002932551319648094,1,1,1,1,0.002932551319648094,1,0.002932551319648094,0.9934
1,How do I deal with a friend who keeps canceling plans?,ai,"Hey there! I'm here to help you navigate the situation with your friend who keeps canceling plans. 😊

Firstly, it's important to acknowledge that canceled plans can be frustrating and hurtful, especially if you had been looking forward to spending time with your friend. However, before we dive into solutions, let's try to understand why your friend might be canceling plans.

There could be various reasons why your friend is canceling plans, such as:

1. Personal or family issues: Your friend might be dealing with personal or family problems that are taking up their time and energy.
2. Health issues: Your friend might be struggling with physical or mental health issues that make it difficult for them to keep up with plans.
3. Work or school demands: Your friend might have a heavy work or school schedule that keeps them busy and prevents them from keeping up with plans.
4. Lack of planning: Your friend might not be great at planning and organizing their time, which can lead to last-minute cancellations.

Now that we've identified some possible reasons, let's explore some ways to deal with the situation:

1. Communicate openly and honestly: Talk to your friend about how their cancellations are affecting you. Be honest and open about your feelings, but also be respectful of their situation.
2. Set clear expectations: When making plans, be clear about your availability and any deadlines you need to meet. Encourage your friend to do the same.
3. Offer alternatives: If your friend cancels plans, offer alternative dates or times that work for you. This shows that you're willing to be flexible and accommodating.
4. Take a break: If your friend consistently cancels plans, it might be helpful to take a break from making plans with them for a while. This can give them time to sort out their issues and also give you a break from the frustration.
5. Seek clarity: If you're not sure why your friend is canceling plans, ask them directly. Sometimes, people need a little nudge to open up about what's going on.

Remember that everyone has their own struggles and challenges, and it's important to be understanding and patient. However, it's also important to prioritize your own needs and boundaries.

I hope these suggestions help you navigate the situation with your friend. Remember that open communication and empathy can go a long way in maintaining healthy relationships. 💕",operational,4,s001,How do I deal with a friend who keeps canceling pl,400,0,11,0.0275,5,0.0125,5,0.0125,1,0.0025,2,0.005,1,0.0025,25,0.0625,2,0.005,23,0.0575,16,0.04,0,0.0,22,0.055,0,0.0,0,0.0,0,0.0,0,0.0,2,0,1,1,0.0025,0,0.0,0.9961
2,What's the best way to cheer someone up when they're sad?,baseline,"Oh my, I'm so sorry to hear that you're feeling sad! 😔 I'm here to help and offer some suggestions on how to cheer you up. 😊

Firstly, let's start with some positivity! 🌞 Sometimes, all it takes is a little reminder of the good things in life to brighten up your day. Can you tell me some things that you're grateful for or something that makes you happy? 🤔 It could be anything from a good cup of coffee, a favorite book, or a funny memory with a friend.

If you're feeling down because of a specific situation, I'd be happy to listen and offer support. Sometimes, just talking about what's bothering you can help you feel better. 💬 I'm here to listen and offer advice, but I'll never judge you or tell you what to do. 😊

If you're looking for some fun activities to lift your mood, here are a few ideas:

1. Get moving! 🏃‍♀️ Exercise releases endorphins, which are natural mood-boosters. Even a short walk or some light stretching can help.
2. Connect with a friend or loved one. 📱💬 Sometimes, just talking to someone we care about can make us feel better.
3. Do something creative! 🎨🧵 Engage in a hobby or activity that brings you joy, like painting, drawing, cooking, or gardening.
4. Take a break from technology. 📱💻 Sometimes, a digital detox can help us feel more relaxed and focused.
5. Practice self-care. 🧖‍♀️ Make sure you're getting enough sleep, eating nutritious food, and taking time for yourself each day.

Remember, it's okay to feel sad sometimes, and it's important to allow yourself to feel your emotions. But if you're feeling overwhelmed or if your sadness persists, don't hesitate to reach out to a trusted friend, family member, or mental health professional for support. 🤗

I hope these suggestions help you feel a little better, my dear! Remember, you're not alone, and there's always hope for a brighter tomorrow. 🌞❤️",operational,4,s001,What's the best way to cheer someone up when they',328,1,6,0.018292682926829267,13,0.039634146341463415,7,0.021341463414634148,0,0.0,6,0.018292682926829267,2,0.006097560975609756,34,0.10365853658536585,8,0.024390243902439025,20,0.06097560975609756,11,0.03353658536585366,1,0.003048780487804878,25,0.07621951219512195,0,0.0,1,0.003048780487804878,1,0.003048780487804878,1,0.003048780487804878,0,1,0,1,0.003048780487804878,1,0.003048780487804878,0.999
2,What's the best way to cheer someone up when they're sad?,human,"Oh my, it's so sweet of you to ask! 😊 When someone is feeling down, it's important to acknowledge their emotions and offer support. Here are some suggestions on how to cheer them up:

1. Listen actively: Sometimes, all someone needs is someone to listen to their concerns and validate their feelings. Offer a kind ear and allow them to express themselves without interrupting or judging.
2. Show empathy: Put yourself in their shoes and try to understand what they're going through. Share a time when you felt similar emotions, and let them know that you understand how they're feeling.
3. Offer a warm beverage: A comforting cup of tea or a steaming mug of hot chocolate can go a long way in brightening someone's day. ☕️
4. Help them find the silver lining: Encourage them to focus on the positive aspects of their situation. Sometimes, we can get so caught up in the negative that we forget about the good things.
5. Make them laugh: Share a funny joke, meme, or video that always makes you laugh. Laughter is a great way to shift our focus away from our worries and lift our mood.
6. Offer a hug or a shoulder to cry on: Physical touch can be very comforting, so give them a warm hug or offer a shoulder to cry on. Sometimes, all we need is a little human connection to feel better.
7. Help them take a break: Suggest taking a break from whatever is causing them stress or sadness. Sometimes, stepping away from a situation can help us gain perspective and come back to it with fresh eyes.
8. Encourage self-care: Remind them to take care of themselves, whether it's getting enough sleep, exercising, or taking a relaxing bath. Taking care of our physical and mental health is essential for our well-being.
9. Offer words of encouragement: Let them know that they're strong and capable, and that they'll get through this difficult time. Remind them of their strengths and accomplishments.
10. Follow up: Check in with them later to see how they're doing and if there's anything else you can do to support them. Sometimes, just knowing that someone cares can make all the difference.

Remember, everyone is different, so what works for one person may not work for another. The most important thing you can do is be present, listen actively, and offer support in whatever way feels most comforting and appropriate. 💕",operational,4,s001,What's the best way to cheer someone up when they',409,0,8,0.019559902200488997,17,0.04156479217603912,6,0.014669926650366748,0,0.0,4,0.009779951100244499,0,0.0,35,0.08557457212713937,8,0.019559902200488997,25,0.061124694376528114,19,0.04645476772616137,1,0.0024449877750611247,29,0.07090464547677261,1,0.0024449877750611247,0,0.0,1,0.0024449877750611247,1,0.0024449877750611247,1,0,0,1,0.0024449877750611247,0,0.0,0.9985
2,What's the best way to cheer someone up when they're sad?,ai,"Oh my, it's so sweet of you to ask! 😊 There are many ways to cheer someone up when they're feeling down, but here are some ideas that have worked for me and my friends in the past:

1. Listen actively: Sometimes, all someone needs is someone to listen to their feelings and validate their emotions. Make eye contact, nod, and ask open-ended questions to show that you're actively listening.
2. Offer a warm beverage: A warm hug or a comforting cup of tea can go a long way in brightening someone's day. 🥰
3. Share a funny story or meme: Laughter is the best medicine, after all! Share a funny story or meme that you know the person will enjoy.
4. Offer a shoulder to cry on: Sometimes, all someone needs is a good cry to release their emotions. Be there for them and offer a shoulder to cry on.
5. Plan a fun activity together: Plan a fun activity that the person will enjoy, like going for a walk, watching a movie, or trying a new restaurant. This can help take their mind off their sadness and bring some joy back into their life.
6. Send a care package: Put together a care package with things that the person might find comforting, like their favorite snacks, a cozy blanket, or a book they've been wanting to read.
7. Offer words of encouragement: Let the person know that you believe in them and that they're strong enough to get through this difficult time. Remind them of their strengths and accomplishments.

Remember, everyone is different, so what works for one person might not work for another. The most important thing is to be present and supportive, and to show that you care. 💕",operational,4,s001,What's the best way to cheer someone up when they',293,0,4,0.013651877133105802,8,0.027303754266211604,2,0.006825938566552901,0,0.0,1,0.0034129692832764505,0,0.0,15,0.051194539249146756,6,0.020477815699658702,17,0.05802047781569966,11,0.03754266211604096,3,0.010238907849829351,21,0.07167235494880546,0,0.0,1,0.0034129692832764505,1,0.0034129692832764505,2,0.006825938566552901,0,0,0,0,0.0,2,0.006825938566552901,0.9989
3,I had a terrible day at work. Can you help me feel better?,baseline,"Of course, I'm here to help! *listens attentively* It sounds like you had a really tough day at work. That can be so draining and frustrating. Can you tell me a bit more about what happened? Sometimes it can help to talk about it and get things off your chest. I'm here to listen and offer support.",operational,4,s001,I had a terrible day at work. Can you help me feel,57,1,3,0.05263157894736842,2,0.03508771929824561,3,0.05263157894736842,0,0.0,0,0.0,0,0.0,8,0.14035087719298245,3,0.05263157894736842,4,0.07017543859649122,4,0.07017543859649122,1,0.017543859649122806,6,0.10526315789473684,0,0.0,0,0.0,0,0.0,1,0.017543859649122806,0,0,0,0,0.0,1,0.017543859649122806,0.7127
