metric,mean_human,sem_human,mean_ai,sem_ai,t,p_raw,dz,n,p_adj,rejected,sig
word_count,941.4920000000001,7.33268171563836,945.2389999999999,8.093921666211967,-0.3136513922347676,0.7551171864316485,-0.04435700527556117,50,0.8270331089489483,False,
question_count,7.871,0.19257169351401865,6.213000000000001,0.13146591084492482,6.290412345667501,8.336102256322985e-08,0.8895986452162135,50,6.391011729847622e-07,True,***
demir_modal_rate,0.012793803199688331,0.00023548837377152684,0.012065228877042422,0.0001938426401618413,2.268145286272783,0.02776326362393105,0.3207641825279575,50,0.049119620257724164,True,*
demir_verb_rate,0.01342881869438347,0.0002328032927529038,0.01355623860535819,0.00020948725520190958,-0.3401593952837832,0.7351904467005512,-0.048105803017895674,50,0.8270331089489483,False,
demir_adverb_rate,0.01051623728227012,0.00016669447770690574,0.009818620772642622,0.00015638045269202952,2.9260262050765022,0.00519080296278161,0.41380259430782695,50,0.011938846814397703,True,*
demir_adjective_rate,0.0005653787562059646,4.7246432020196115e-05,0.0007402762674848958,4.779167927800001e-05,-2.402266809219528,0.020128455769043135,-0.33973183020369974,50,0.03857954022399934,True,*
demir_quantifier_rate,0.0052995753687893,0.00014746141405296665,0.005290754202405605,0.00012398510147457637,0.04225432312883908,0.9664676706839573,0.005975663683769937,50,0.9664676706839572,False,
demir_noun_rate,0.0009800344832680136,5.5040515284774175e-05,0.0012007265698705078,5.343746943927906e-05,-2.445234536662897,0.0181164459915601,-0.345808384493176,50,0.037879841618716575,True,*
demir_total_rate,0.0435838477846052,0.0004885336285060689,0.042671845294804236,0.0003596276532833596,1.3044808754644357,0.19816369180521992,0.18448145459381335,50,0.3038509941013372,False,
fung_interpersonal_rate,0.03809202238628496,0.0004689603971299434,0.03327942254254536,0.00042876996289463297,8.056620889838257,1.5655119085144652e-10,1.1393782529307657,50,3.60067738958327e-09,True,***
fung_referential_rate,0.08160063961645675,0.00038531594620844667,0.08118532502450025,0.00031869777604631554,0.7545230889934997,0.4541463061613743,0.1067056785578249,50,0.5802980578728671,False,
fung_structural_rate,0.0770236658218255,0.00044364854504688533,0.07632164650301294,0.0003732149196904944,1.1534384112239775,0.254325880869489,0.1631208244515024,50,0.36559345374989044,False,
fung_cognitive_rate,0.01354419327458759,0.0002784448759805098,0.011666423608821702,0.0002711712612009182,4.5758066970978195,3.2564369649300185e-05,0.6471167889833374,50,0.00012483008365565072,True,***
fung_total_rate,0.11647164947867707,0.0006851887662888299,0.11049254744086615,0.0006104483794111679,5.924149664047548,3.0623649108944144e-07,0.8378012800424058,50,1.7608598237642882e-06,True,***
nonfluency_rate,0.001344790634747628,7.72696350244075e-05,0.0013995743628317401,5.5682694278194864e-05,-0.5313454588165294,0.5975799946718523,-0.07514359541636907,50,0.7233863093396107,False,
liwc_filler_rate,0.0023303789702031844,0.00011115004952252642,0.0014717731537695982,7.456337658192093e-05,6.463829184338661,4.493269389474894e-08,0.9141234897354756,50,5.167259797896129e-07,True,***
disfluency_rate,0.0036751696049508132,0.00013490234428886503,0.0028713475166013388,0.00010058613406646956,4.3343948952201,7.244533421743781e-05,0.6129760045500976,50,0.00023803466957158137,True,***
like_rate,0.008188207723843365,0.0002487312647802962,0.00691392609006576,0.00022937779694183494,3.7111437594388033,0.0005273010353864589,0.524834983651463,50,0.0015159904767360695,True,**
tom_rate,0.002138289104699659,9.978351031744765e-05,0.001522331128011812,6.005890205562115e-05,5.106810818104015,5.357724251596927e-06,0.722212111943634,50,2.4645531557345868e-05,True,***
politeness_rate,0.005184943207849987,0.00014657248182048296,0.00597255878944348,0.00014229910103394093,-3.50871136204144,0.0009755247527658641,-0.4962067194651579,50,0.002493007701512764,True,**
sentiment,0.96579922,0.0019908460642815416,0.9662932200000001,0.0026360198457476597,-0.14752868455497106,0.8833201248756716,-0.020863706653670225,50,0.9234710396427475,False,
quality,2.974000000000001,0.011270333099037723,2.9590000000000005,0.008534444017853627,1.0702591020190144,0.2897464364333227,0.151357493732854,50,0.3920098845862601,False,
connectedness,3.0750000000000006,0.009285714285714286,3.054,0.009350324669687753,1.5751908829099004,0.12164758545195853,0.22276563099376306,50,0.19984960467107474,False,
