metric,mean_human,sem_human,mean_ai,sem_ai,t,p_raw,dz,n,p_adj,rejected,sig
word_count,954.895,6.211885127458063,937.3300000000002,7.881079512713615,1.668018420574495,0.10169116388870554,0.23589342726646004,50,0.16706405496001625,False,
question_count,7.668000000000001,0.18152843146067071,7.3260000000000005,0.736680696760538,0.43882574380203304,0.662716736339338,0.06205933184032963,50,0.8022360492528829,False,
demir_modal_rate,0.012253577930777717,0.00018474022627316128,0.012186649115336713,0.00022384773799580135,0.20698653471407807,0.8368781436909909,0.02927231646212586,50,0.8487109344125792,False,
demir_verb_rate,0.01329379122901745,0.0002498786619733011,0.013736474401366357,0.00025730586684244997,-1.0478470843116352,0.29985029201131924,-0.14818795579266186,50,0.458281591428001,False,
demir_adverb_rate,0.010282025970086152,0.00016091684771327733,0.010210652130765961,0.00016151308462887355,0.3155139725698601,0.7537113540087644,0.04462041391265088,50,0.845270122464389,False,
demir_adjective_rate,0.0005595842273155391,4.4662203021274394e-05,0.0007400793701265454,5.024722126110244e-05,-2.5631448834941715,0.013494063728844149,-0.36248342565646646,50,0.03879543322042693,True,*
demir_quantifier_rate,0.005341939108211267,0.0001166689581001357,0.0057452448329216145,0.00014107916568647746,-1.9317047126523292,0.05918973690494064,-0.27318430031329466,50,0.11344699573446958,False,
demir_noun_rate,0.0010278266811984738,5.693752887650286e-05,0.0012372025126699629,5.6748025510592776e-05,-2.285559891648731,0.026644413109828784,-0.3232269796385617,50,0.061282150152606206,False,
demir_total_rate,0.042758745146606596,0.0003485946090114759,0.04385630236318715,0.00041551092553695736,-1.710062030122005,0.0935803099227678,-0.24183929154978084,50,0.16556516370951224,False,
fung_interpersonal_rate,0.03943058923262865,0.0005606615155305665,0.03546759774207229,0.0005119904573766696,4.517090925034158,3.960888299940288e-05,0.6388131248655736,50,0.0004555021544931331,True,***
fung_referential_rate,0.0821405173262741,0.0004248757457678271,0.08184543729539447,0.00033708670641239294,0.5696400081605805,0.57152433197792,0.08055926252110134,50,0.7732388020877741,False,
fung_structural_rate,0.07727493899884118,0.0003927611360768411,0.0771115491022472,0.0003978521225608635,0.2916724190859764,0.7717683726848769,0.04124870908415571,50,0.845270122464389,False,
fung_cognitive_rate,0.01477833048088021,0.0003272695260323587,0.012828264858679947,0.0002849995866312572,3.7702942918708406,0.00043923438249009384,0.5332001321701607,50,0.0016837317995453598,True,**
fung_total_rate,0.11843752914610371,0.0007686670309952504,0.11370272731905487,0.0006872855427997518,4.159531970770721,0.00012801700951229695,0.5882466526188442,50,0.0007360978046957074,True,***
nonfluency_rate,0.0013481423948648516,5.5046606654408194e-05,0.0013322383819532797,5.60100488869735e-05,0.19177504910794418,0.8487109344125793,0.0271210875373221,50,0.8487109344125792,False,
liwc_filler_rate,0.00254582442844548,0.00012121947530313937,0.0017572549682336705,9.60393065160035e-05,4.632245964089132,2.6955977472616322e-05,0.6550985066662883,50,0.0004555021544931331,True,***
disfluency_rate,0.003893966823310332,0.00012599095551946068,0.0030894933501869498,0.00010341247481461733,4.359593284405466,6.669158038434706e-05,0.6165395949236875,50,0.0005113021162799941,True,***
like_rate,0.0092568266191381,0.0002760031478957463,0.007807628288449113,0.0002503471988556874,3.379843874012042,0.0014307005512115794,0.47798210453314516,50,0.004700873239695189,True,**
tom_rate,0.0021822416310411917,8.833783739551125e-05,0.0016820823553739183,7.807861015907739e-05,3.9719961744397985,0.0002333337623931995,0.5617250859586812,50,0.0010733353070087176,True,**
politeness_rate,0.005152510892046409,0.00014565157502067515,0.005597800903530123,0.00014216892430928558,-1.9512331060523875,0.05675878118744315,-0.2759460321930666,50,0.11344699573446958,False,
sentiment,0.9680096599999999,0.0024182126487088595,0.9664074600000001,0.002239623889380918,0.4664461486913553,0.6429633659349281,0.0659654469596012,50,0.8022360492528829,False,
quality,2.9040000000000004,0.012844438167422303,2.946,0.010085350054127312,-2.413731277273672,0.01957283127228221,-0.34135315082445605,50,0.05001945769583231,False,
connectedness,2.994,0.008528463746628167,2.9819999999999998,0.006963461489687959,1.0071623891934527,0.3188045853412181,0.14243427103094705,50,0.458281591428001,False,
