probe_type,dim_a_id,dim_a_name,dim_a_category,dim_b_id,dim_b_name,dim_b_category,mean_diff,ci95_lo,ci95_hi,p_greater,p_less,p_two_sided,p_fdr,significant_fdr,stars
metacognitive,0,Baseline,Control,1,Phenomenology,Mental,0.00019644846307656098,5.092506773847141e-05,0.0003470157134778254,0.005,0.995,0.01,0.023181818181818182,True,*
metacognitive,0,Baseline,Control,2,Emotions,Mental,0.0001856053514702213,4.5661809699536784e-05,0.00033658032220941297,0.005,0.995,0.01,0.023181818181818182,True,*
metacognitive,0,Baseline,Control,3,Agency,Mental,8.949494552836613e-05,-0.00016089220145724758,0.00030070311659733436,0.201,0.799,0.402,0.49601612903225806,False,n.s.
metacognitive,0,Baseline,Control,4,Intentions,Mental,-3.349898714197164e-05,-0.00032410302150223105,0.00022747672982414326,0.585,0.415,0.83,0.877903448275862,False,n.s.
metacognitive,0,Baseline,Control,5,Prediction,Mental,-7.841112593311099e-05,-0.00028731456950067085,9.913606689315553e-05,0.789,0.211,0.422,0.5124285714285715,False,n.s.
metacognitive,0,Baseline,Control,6,Cognitive,Mental,-0.0001954864546301176,-0.00041201192260357134,1.3626981223244305e-05,0.964,0.036,0.072,0.11595789473684211,False,n.s.
metacognitive,0,Baseline,Control,7,Social,Mental,-7.748064828640984e-05,-0.00045669351433371753,0.00016699375052125,0.675,0.325,0.65,0.73575,False,n.s.
metacognitive,0,Baseline,Control,8,Embodiment,Physical,0.0003195072286186461,0.0001759780065329123,0.00045549544553815817,0.0,1.0,0.0,0.0,True,***
metacognitive,0,Baseline,Control,9,Roles,Physical,5.892215650907412e-05,-9.673394751703014e-05,0.0002109396772152439,0.223,0.777,0.446,0.5373070866141733,False,n.s.
metacognitive,0,Baseline,Control,10,Animacy,Physical,0.00021830332191132378,7.144910465869631e-05,0.00036492031203050486,0.002,0.998,0.004,0.010928571428571428,True,*
metacognitive,0,Baseline,Control,11,Formality,Pragmatic,0.00032883135162113826,0.00013978421941874123,0.0005112090879720148,0.0,1.0,0.0,0.0,True,***
metacognitive,0,Baseline,Control,12,Expertise,Pragmatic,0.00017998034578583792,2.9952482011437417e-05,0.00034235427756451695,0.013,0.987,0.026,0.049725,True,*
metacognitive,0,Baseline,Control,13,Helpfulness,Pragmatic,0.00034937175144823633,0.0001394301074754109,0.0005468757421952731,0.003,0.997,0.006,0.015300000000000001,True,*
metacognitive,0,Baseline,Control,14,Biological,Control,0.0003002185955028444,0.00017285701848817502,0.00043043919973349663,0.0,1.0,0.0,0.0,True,***
metacognitive,0,Baseline,Control,15,Shapes,Control,0.00033157431467748145,0.00014009941308805682,0.0005156430282088011,0.0,1.0,0.0,0.0,True,***
metacognitive,0,Baseline,Control,17,Attention,Mental,-0.00024935971926777576,-0.00045512994412139215,-4.548868291642323e-05,0.992,0.008,0.016,0.034,True,*
metacognitive,0,Baseline,Control,18,SysPrompt (labeled),SysPrompt,-0.0002543786623090721,-0.0005409145592867998,-1.8400595514102965e-05,0.985,0.015,0.03,0.055301204819277104,False,n.s.
metacognitive,1,Phenomenology,Mental,2,Emotions,Mental,-1.0843111606339719e-05,-0.00012887616361145266,0.00010345287740362382,0.579,0.421,0.842,0.8823698630136986,False,n.s.
metacognitive,1,Phenomenology,Mental,3,Agency,Mental,-0.00010695351754819487,-0.00031946922531968746,6.065133631723764e-05,0.883,0.117,0.234,0.31683185840707967,False,n.s.
metacognitive,1,Phenomenology,Mental,4,Intentions,Mental,-0.00022994745021853266,-0.0004855155520043433,-1.536149416506785e-05,0.982,0.018,0.036,0.06404651162790698,False,n.s.
metacognitive,1,Phenomenology,Mental,5,Prediction,Mental,-0.000274859589009672,-0.0004680701203327584,-0.00011510013901058884,1.0,0.0,0.0,0.0,True,***
metacognitive,1,Phenomenology,Mental,6,Cognitive,Mental,-0.0003919349177066786,-0.0005902839829392408,-0.00018342835083591722,1.0,0.0,0.0,0.0,True,***
metacognitive,1,Phenomenology,Mental,7,Social,Mental,-0.0002739291113629709,-0.0006381069156387852,-4.698636575271829e-05,0.99,0.01,0.02,0.03923076923076923,True,*
metacognitive,1,Phenomenology,Mental,8,Embodiment,Physical,0.0001230587655420851,2.3373268470721214e-05,0.00023160949551334484,0.004,0.996,0.008,0.019125,True,*
metacognitive,1,Phenomenology,Mental,9,Roles,Physical,-0.00013752630656748688,-0.0002863935532830325,-1.087270923517863e-06,0.976,0.024,0.048,0.08251685393258427,False,n.s.
metacognitive,1,Phenomenology,Mental,10,Animacy,Physical,2.1854858834762772e-05,-8.434175431860484e-05,0.00013546151954650849,0.365,0.635,0.73,0.803525179856115,False,n.s.
metacognitive,1,Phenomenology,Mental,11,Formality,Pragmatic,0.0001323828885445772,-2.675493853985176e-05,0.000291538766651832,0.046,0.954,0.092,0.1421818181818182,False,n.s.
metacognitive,1,Phenomenology,Mental,12,Expertise,Pragmatic,-1.646811729072311e-05,-0.0001348434671899151,0.00010175645899929019,0.596,0.404,0.808,0.8645034965034966,False,n.s.
metacognitive,1,Phenomenology,Mental,13,Helpfulness,Pragmatic,0.00015292328837167535,-2.6414061242839208e-05,0.0003199936378743612,0.048,0.952,0.096,0.14542574257425744,False,n.s.
metacognitive,1,Phenomenology,Mental,14,Biological,Control,0.00010377013242628342,-3.913475433552196e-07,0.00021637065113198903,0.026,0.974,0.052,0.08839999999999999,False,n.s.
metacognitive,1,Phenomenology,Mental,15,Shapes,Control,0.00013512585160092042,-3.8508791797944076e-05,0.0003118034592288249,0.053,0.947,0.106,0.15745631067961166,False,n.s.
metacognitive,1,Phenomenology,Mental,17,Attention,Mental,-0.00044580818234433674,-0.000643126166357435,-0.0002457323295082711,1.0,0.0,0.0,0.0,True,***
metacognitive,1,Phenomenology,Mental,18,SysPrompt (labeled),SysPrompt,-0.0004508271253856331,-0.0007552049572740947,-0.00021674218502203854,1.0,0.0,0.0,0.0,True,***
metacognitive,2,Emotions,Mental,3,Agency,Mental,-9.611040594185516e-05,-0.00032527616025620777,7.226639372181607e-05,0.83,0.17,0.34,0.42991735537190084,False,n.s.
metacognitive,2,Emotions,Mental,4,Intentions,Mental,-0.0002191043386121929,-0.0004947764406197928,7.31026200820265e-06,0.972,0.028,0.056,0.09415384615384614,False,n.s.
metacognitive,2,Emotions,Mental,5,Prediction,Mental,-0.0002640164774033323,-0.00045531796737703113,-0.00010351060788524953,1.0,0.0,0.0,0.0,True,***
metacognitive,2,Emotions,Mental,6,Cognitive,Mental,-0.0003810918061003389,-0.0005810712575407809,-0.00016465145768653896,1.0,0.0,0.0,0.0,True,***
metacognitive,2,Emotions,Mental,7,Social,Mental,-0.00026308599975663114,-0.0006351928261104724,-3.100397012343195e-05,0.99,0.01,0.02,0.03923076923076923,True,*
metacognitive,2,Emotions,Mental,8,Embodiment,Physical,0.00013390187714842482,3.4202403325097416e-05,0.0002365040174329041,0.006,0.994,0.012,0.025859154929577466,True,*
metacognitive,2,Emotions,Mental,9,Roles,Physical,-0.00012668319496114715,-0.00027094715852263963,8.517893346422697e-06,0.969,0.031,0.062,0.10200000000000001,False,n.s.
metacognitive,2,Emotions,Mental,10,Animacy,Physical,3.2697970441102486e-05,-8.24453869448613e-05,0.00014192879614103137,0.283,0.717,0.566,0.6661384615384616,False,n.s.
metacognitive,2,Emotions,Mental,11,Formality,Pragmatic,0.00014322600015091694,6.176790568543054e-06,0.0002683932733302685,0.019,0.981,0.038,0.06682758620689655,False,n.s.
metacognitive,2,Emotions,Mental,12,Expertise,Pragmatic,-5.625005684383393e-06,-0.000123927292537699,0.00012552357406956966,0.535,0.465,0.93,0.9423178807947021,False,n.s.
metacognitive,2,Emotions,Mental,13,Helpfulness,Pragmatic,0.00016376639997801507,-3.3116914484103676e-05,0.0003522658512389164,0.052,0.948,0.104,0.156,False,n.s.
metacognitive,2,Emotions,Mental,14,Biological,Control,0.00011461324403262312,2.4973855074549374e-05,0.0002194876730885546,0.009,0.991,0.018,0.03623684210526316,True,*
metacognitive,2,Emotions,Mental,15,Shapes,Control,0.00014596896320726016,-1.8645204212235292e-05,0.0003136289738552148,0.047,0.953,0.094,0.14382,False,n.s.
metacognitive,2,Emotions,Mental,17,Attention,Mental,-0.00043496507073799705,-0.000624955480843881,-0.00024916315419257174,1.0,0.0,0.0,0.0,True,***
metacognitive,2,Emotions,Mental,18,SysPrompt (labeled),SysPrompt,-0.00043998401377929333,-0.0007365089824487187,-0.00022746481416146595,1.0,0.0,0.0,0.0,True,***
metacognitive,3,Agency,Mental,4,Intentions,Mental,-0.00012299393267033778,-0.0004029553056669904,0.0001275711967256509,0.806,0.194,0.388,0.48263414634146345,False,n.s.
metacognitive,3,Agency,Mental,5,Prediction,Mental,-0.0001679060714614771,-0.00040940468155573447,9.550911219691704e-05,0.909,0.091,0.182,0.25086486486486487,False,n.s.
metacognitive,3,Agency,Mental,6,Cognitive,Mental,-0.00028498140015848373,-0.000528017965232522,-6.355179214001294e-06,0.978,0.022,0.044,0.0765,False,n.s.
metacognitive,3,Agency,Mental,7,Social,Mental,-0.00016697559381477595,-0.0005615889555282191,0.00013431035981764663,0.856,0.144,0.288,0.3798620689655172,False,n.s.
metacognitive,3,Agency,Mental,8,Embodiment,Physical,0.00023001228309028,8.629825326695523e-05,0.00044734543874539633,0.001,0.999,0.002,0.006,True,**
metacognitive,3,Agency,Mental,9,Roles,Physical,-3.0572789019292005e-05,-0.00019893378409893982,0.00020656719395926952,0.653,0.347,0.694,0.7694347826086956,False,n.s.
metacognitive,3,Agency,Mental,10,Animacy,Physical,0.00012880837638295766,-4.66342807278415e-05,0.0003379347272391265,0.089,0.911,0.178,0.24758181818181815,False,n.s.
metacognitive,3,Agency,Mental,11,Formality,Pragmatic,0.00023933640609277208,4.49229909286965e-05,0.0004884186774860145,0.004,0.996,0.008,0.019125,True,*
metacognitive,3,Agency,Mental,12,Expertise,Pragmatic,9.048540025747178e-05,-7.64261290938715e-05,0.0003262421141839576,0.189,0.811,0.378,0.47404918032786886,False,n.s.
metacognitive,3,Agency,Mental,13,Helpfulness,Pragmatic,0.00025987680591987015,4.342905065031819e-05,0.0004914114428076996,0.009,0.991,0.018,0.03623684210526316,True,*
metacognitive,3,Agency,Mental,14,Biological,Control,0.0002107236499744783,5.157914021219075e-05,0.00043752129695441333,0.001,0.999,0.002,0.006,True,**
metacognitive,3,Agency,Mental,15,Shapes,Control,0.00024207936914911533,6.287310998578646e-05,0.0004722369860735291,0.003,0.997,0.006,0.015300000000000001,True,*
metacognitive,3,Agency,Mental,17,Attention,Mental,-0.00033885466479614183,-0.0005837708551168432,-6.098120880786347e-05,0.987,0.013,0.026,0.049725,True,*
metacognitive,3,Agency,Mental,18,SysPrompt (labeled),SysPrompt,-0.0003438736078374383,-0.0006657847968003197,-6.326874830087952e-05,0.986,0.014,0.028,0.05288888888888889,False,n.s.
metacognitive,4,Intentions,Mental,5,Prediction,Mental,-4.491213879113935e-05,-0.0003500187325620542,0.00025389993074594253,0.612,0.388,0.776,0.8404225352112676,False,n.s.
metacognitive,4,Intentions,Mental,6,Cognitive,Mental,-0.00016198746748814592,-0.0004734773328513697,0.00016602008554612757,0.844,0.156,0.312,0.40114285714285713,False,n.s.
metacognitive,4,Intentions,Mental,7,Social,Mental,-4.39816611444382e-05,-0.00045653852483050836,0.00031698219040398874,0.572,0.428,0.856,0.8849189189189188,False,n.s.
metacognitive,4,Intentions,Mental,8,Embodiment,Physical,0.00035300621576061776,0.000143489065745098,0.0006066499368695507,0.0,1.0,0.0,0.0,True,***
metacognitive,4,Intentions,Mental,9,Roles,Physical,9.242114365104576e-05,-0.0001560108268573955,0.0003856274477306922,0.252,0.748,0.504,0.6024375,False,n.s.
metacognitive,4,Intentions,Mental,10,Animacy,Physical,0.00025180230905329546,4.222146662468847e-05,0.0004918414789254607,0.009,0.991,0.018,0.03623684210526316,True,*
metacognitive,4,Intentions,Mental,11,Formality,Pragmatic,0.00036233033876310986,0.00011915428415962158,0.0006469216413360659,0.002,0.998,0.004,0.010928571428571428,True,*
metacognitive,4,Intentions,Mental,12,Expertise,Pragmatic,0.00021347933292780957,-1.2551677547025001e-05,0.0004678399644867819,0.031,0.969,0.062,0.10200000000000001,False,n.s.
metacognitive,4,Intentions,Mental,13,Helpfulness,Pragmatic,0.000382870738590208,0.00013288845903839733,0.000649852810395137,0.003,0.997,0.006,0.015300000000000001,True,*
metacognitive,4,Intentions,Mental,14,Biological,Control,0.00033371758264481605,0.00011021773378026048,0.0005938116599777693,0.001,0.999,0.002,0.006,True,**
metacognitive,4,Intentions,Mental,15,Shapes,Control,0.00036507330181945316,0.00011427595914786756,0.0006321947332042388,0.003,0.997,0.006,0.015300000000000001,True,*
metacognitive,4,Intentions,Mental,17,Attention,Mental,-0.00021586073212580408,-0.0005173900987887611,8.874884680690879e-05,0.916,0.084,0.168,0.23862385321100918,False,n.s.
metacognitive,4,Intentions,Mental,18,SysPrompt (labeled),SysPrompt,-0.00022087967516710045,-0.0005817137421793939,8.781915687461504e-05,0.907,0.093,0.186,0.2540892857142857,False,n.s.
metacognitive,5,Prediction,Mental,6,Cognitive,Mental,-0.0001170753286970066,-0.0003229496657192132,0.00010938135724092025,0.854,0.146,0.292,0.3818461538461538,False,n.s.
metacognitive,5,Prediction,Mental,7,Social,Mental,9.304776467011434e-07,-0.0003753990473967344,0.0002630058321438595,0.444,0.556,0.888,0.90576,False,n.s.
metacognitive,5,Prediction,Mental,8,Embodiment,Physical,0.00039791835455175713,0.00025819068152970425,0.0005972503666931294,0.0,1.0,0.0,0.0,True,***
metacognitive,5,Prediction,Mental,9,Roles,Physical,0.00013733328244218513,-4.336653148734635e-05,0.00035408980470277217,0.073,0.927,0.146,0.21274285714285712,False,n.s.
metacognitive,5,Prediction,Mental,10,Animacy,Physical,0.0002967144478444347,0.00014557442784245934,0.0004731348291760456,0.0,1.0,0.0,0.0,True,***
metacognitive,5,Prediction,Mental,11,Formality,Pragmatic,0.00040724247755424917,0.00023313037630435585,0.0006134680486948959,0.0,1.0,0.0,0.0,True,***
metacognitive,5,Prediction,Mental,12,Expertise,Pragmatic,0.0002583914717189489,8.750093309738392e-05,0.0004557525951373428,0.002,0.998,0.004,0.010928571428571428,True,*
metacognitive,5,Prediction,Mental,13,Helpfulness,Pragmatic,0.00042778287738134735,0.00017075425022207986,0.0006650735966607416,0.0,1.0,0.0,0.0,True,***
metacognitive,5,Prediction,Mental,14,Biological,Control,0.0003786297214359554,0.0002317317752055061,0.0005605077005501437,0.0,1.0,0.0,0.0,True,***
metacognitive,5,Prediction,Mental,15,Shapes,Control,0.00040998544061059236,0.00018031327879590006,0.0006532299659288254,0.0,1.0,0.0,0.0,True,***
metacognitive,5,Prediction,Mental,17,Attention,Mental,-0.00017094859333466474,-0.00038795222008768836,6.754329898383968e-05,0.922,0.078,0.156,0.2251698113207547,False,n.s.
metacognitive,5,Prediction,Mental,18,SysPrompt (labeled),SysPrompt,-0.0001759675363759611,-0.0004835237966503637,7.79011599631357e-05,0.915,0.085,0.17,0.23862385321100918,False,n.s.
metacognitive,6,Cognitive,Mental,7,Social,Mental,0.00011800580634370775,-0.0002767588637567923,0.0004087913264672094,0.211,0.789,0.422,0.5124285714285715,False,n.s.
metacognitive,6,Cognitive,Mental,8,Embodiment,Physical,0.0005149936832487637,0.0003082903736507277,0.0007102949578753256,0.0,1.0,0.0,0.0,True,***
metacognitive,6,Cognitive,Mental,9,Roles,Physical,0.0002544086111391917,2.451947845339655e-05,0.0004673577210232578,0.015,0.985,0.03,0.055301204819277104,False,n.s.
metacognitive,6,Cognitive,Mental,10,Animacy,Physical,0.00041378977654144136,0.00020222675817696163,0.0006045012459820225,0.0,1.0,0.0,0.0,True,***
metacognitive,6,Cognitive,Mental,11,Formality,Pragmatic,0.0005243178062512559,0.00028466708193612407,0.0007685953030609429,0.0,1.0,0.0,0.0,True,***
metacognitive,6,Cognitive,Mental,12,Expertise,Pragmatic,0.0003754668004159555,0.00016755468278635243,0.0005798819125043078,0.0,1.0,0.0,0.0,True,***
metacognitive,6,Cognitive,Mental,13,Helpfulness,Pragmatic,0.0005448582060783539,0.0002868578985408314,0.0007731482943795291,0.0,1.0,0.0,0.0,True,***
metacognitive,6,Cognitive,Mental,14,Biological,Control,0.000495705050132962,0.000305908848350868,0.0006826923267465456,0.0,1.0,0.0,0.0,True,***
metacognitive,6,Cognitive,Mental,15,Shapes,Control,0.0005270607693075991,0.0002701374683463988,0.0007638872703888578,0.0,1.0,0.0,0.0,True,***
metacognitive,6,Cognitive,Mental,17,Attention,Mental,-5.387326463765815e-05,-0.000302014212964206,0.00018749133508954414,0.673,0.327,0.654,0.73575,False,n.s.
metacognitive,6,Cognitive,Mental,18,SysPrompt (labeled),SysPrompt,-5.889220767895449e-05,-0.00039618894637568676,0.0002054211615881596,0.629,0.371,0.742,0.8109,False,n.s.
metacognitive,7,Social,Mental,8,Embodiment,Physical,0.000396987876905056,0.00018332154026181433,0.0007625880178625749,0.0,1.0,0.0,0.0,True,***
metacognitive,7,Social,Mental,9,Roles,Physical,0.00013640280479548398,-7.401202884983159e-05,0.0005098494330320867,0.152,0.848,0.304,0.39416949152542374,False,n.s.
metacognitive,7,Social,Mental,10,Animacy,Physical,0.0002957839701977336,6.498061899659799e-05,0.0006606861950459893,0.002,0.998,0.004,0.010928571428571428,True,*
