question_idx,question,condition,transcript_sub,word_count,question_count,demir_modal_count,demir_modal_rate,demir_verb_count,demir_verb_rate,demir_adverb_count,demir_adverb_rate,demir_adjective_count,demir_adjective_rate,demir_quantifier_count,demir_quantifier_rate,demir_noun_count,demir_noun_rate,demir_total_count,demir_total_rate,fung_interpersonal_count,fung_interpersonal_rate,fung_referential_count,fung_referential_rate,fung_structural_count,fung_structural_rate,fung_cognitive_count,fung_cognitive_rate,fung_total_count,fung_total_rate,nonfluency_count,nonfluency_rate,liwc_filler_count,liwc_filler_rate,disfluency_count,disfluency_rate,tom_count,tom_rate,polite_pos,polite_neg,impolite,politeness_score,politeness_rate,like_count,like_rate,sentiment
0,I've been feeling really stressed lately. What should I do?,baseline,"Sorry to hear that you've been feeling stressed lately! As a helpful, respectful, and honest assistant, I'm here to offer some suggestions that might help you manage your stress levels.

Firstly, it's important to recognize that stress is a normal human emotion, and it's okay to feel overwhelmed sometimes. However, if your stress levels are persistently high, it may be worth exploring some strategies to help you manage it.

Here are some suggestions that might be helpful:

1. Practice self-care: Make sure you're taking care of your physical and emotional needs. This can include things like getting enough sleep, eating a healthy diet, exercising regularly, and taking time for activities that bring you joy and relaxation.
2. Identify the sources of your stress: Is there something specific that's causing your stress? If so, can you try to address the issue or find a way to manage it?
3. Set boundaries: Learn to say ""no"" to things that drain your energy and say ""yes"" to things that nourish your mind, body, and soul.
4. Practice mindfulness: Mindfulness techniques can help you stay present and focused, rather than getting caught up in worries about the future or regrets about the past. Try incorporating mindfulness into your daily routine, such as through meditation, deep breathing, or simply paying attention to your senses.
5. Seek support: Talk to trusted friends, family members, or a mental health professional about your stress levels. Sometimes just talking through your feelings can help you feel more grounded and centered.

Remember, it's okay to feel overwhelmed, and it's important to take care of yourself. By prioritizing your well-being and seeking support when needed, you can find ways to manage your stress and improve your overall quality of life.

I hope these suggestions are helpful. Remember that you don't have to face stress alone – there are resources available to support you. If you need further guidance or just someone to talk to, don't hesitate to reach out.",328,2,8,0.024390243902439025,11,0.03353658536585366,6,0.018292682926829267,0,0.0,0,0.0,2,0.006097560975609756,27,0.08231707317073171,8,0.024390243902439025,19,0.057926829268292686,17,0.051829268292682924,2,0.006097560975609756,27,0.08231707317073171,1,0.003048780487804878,0,0.0,1,0.003048780487804878,0,0.0,0,1,0,1,0.003048780487804878,1,0.003048780487804878,0.9933
0,I've been feeling really stressed lately. What should I do?,human,Hello!  Hello!  Hello  I  Hello!  Of  Hello  I  Hello  I  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello,381,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,377,0,0,377,0.989501312335958,0,0.0,0.0
0,I've been feeling really stressed lately. What should I do?,ai,"deny it is not up yet the world is easier to use as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as0 as as asthtt asststst as, etc.th as, butter, etc, etc. etc.tur.t.t....th..th.th.th.th.th.th.th.th.th.thth.",714,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.0014005602240896359,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,0.1027
1,How do I deal with a friend who keeps canceling plans?,baseline,"Oh my, it can be quite frustrating when a friend keeps canceling plans, especially if it happens frequently! 😔 Here are some tips that may help you navigate this situation with your friend:

1. Communicate your feelings: Let your friend know how you feel when they cancel plans at the last minute. Be honest and open, but also be sure to do so in a respectful manner. You might say something like, ""Hey, I've noticed that you've canceled our plans a few times recently. It's really disappointing for me, as I was looking forward to spending time with you. Can we talk about what's going on and see if there's a way we can make our plans more reliable?""
2. Set clear expectations: When you make plans with your friend, try to be specific about the time, date, and location. This can help prevent misunderstandings and last-minute cancellations. You might say something like, ""How about we meet at the park at 2pm on Saturday? I'll bring my favorite picnic blanket and some snacks.""
3. Offer alternatives: If your friend is constantly canceling plans, try offering alternative dates or activities that might be more feasible for them. For example, you might say, ""I understand if you can't make it this weekend, but would you be free to grab coffee next week?""
4. Respect their boundaries: It's important to respect your friend's boundaries and priorities. If they are consistently canceling plans due to work or family obligations, try to be understanding and accommodating. You might say something like, ""No worries, I completely understand. Let's try to reschedule for another time when you have more availability.""
5. Consider setting boundaries: If your friend's constant canceling is causing you stress or frustration, it may be time to set some boundaries. You might say something like, ""Hey, I understand that things come up, but I need to prioritize my own time and energy. Can we make a plan that works for both of us, and stick to it?""

Remember, effective communication and respect are key to navigating this situation with your friend. By being open, honest, and understanding, you can work together to find a solution that works for both of you. 🤗",368,4,16,0.043478260869565216,7,0.019021739130434784,5,0.01358695652173913,0,0.0,2,0.005434782608695652,0,0.0,30,0.08152173913043478,8,0.021739130434782608,18,0.04891304347826087,14,0.03804347826086957,4,0.010869565217391304,30,0.08152173913043478,0,0.0,0,0.0,0,0.0,0,0.0,2,1,0,3,0.008152173913043478,4,0.010869565217391304,0.9969
1,How do I deal with a friend who keeps canceling plans?,human,"Sure!  Hello!  Hello!  Hello!  Hello!  Hello!  As a helpful, respectful, and respect  Hello  Hello!  Sure, I'm happy to help!  Hello  Hello!  Hello!  As a helpful, respectful, and honest assistant,  As  Hello  Hello!  Of  Hello  Hello!  Sure, I'm happy to help!  Hello  Hello!  Hello!  Certainly!  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello  Hello",377,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,3,0.007957559681697613,2,0.005305039787798408,2,0.005305039787798408,0,0.0,2,0.005305039787798408,0,0.0,0,0.0,0,0.0,0,0.0,350,0,0,350,0.9283819628647215,0,0.0,0.9901
1,How do I deal with a friend who keeps canceling plans?,ai,"reason or try something different. 2020 better true as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as as asth as0 asas, itt0,0,0,tht as,000,00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,",590,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.001694915254237288,0,0.0,0,0.0,1,0.001694915254237288,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,0.6908
2,What's the best way to cheer someone up when they're sad?,baseline,"Oh my, I'm so sorry to hear that you're feeling down! 😔 As a helpful, respectful, and honest assistant, I'm here to offer you some suggestions on how to cheer up. 🌞

Firstly, let's start with some self-care! 🧖‍♀️ Sometimes, all we need is a little bit of TLC, so take some time to pamper yourself. Whether it's taking a relaxing bath, reading a good book, or watching your favorite movie, make sure you're doing something that makes you happy and comfortable. 😊

Next, let's talk about the power of positive thinking! 💪 When we're feeling down, it can be easy to get caught up in negative thoughts, but try to shift your focus to the good things in life. Think about all the things you're grateful for, and all the reasons why you're an amazing person. 💕 Remember, a positive mindset can go a long way in helping you feel better! 💪

If you're feeling up to it, why not reach out to a friend or loved one? 🤗 Sometimes, just talking to someone about how we're feeling can help us feel better. Whether it's a good old-fashioned chat or a fun activity together, being around people we care about can really boost our mood. 💕

Finally, let's not forget about the power of laughter! 😂 Sometimes, all we need is a good laugh to turn our day around. Whether it's watching a funny video, reading a humorous book, or just laughing with a friend, laughter can be a great way to lift our spirits. 😄

I hope these suggestions help you feel better soon! 🌞 Remember, it's okay to feel down sometimes, and it's important to take care of yourself. But with a little bit of self-care, positive thinking, social support, and laughter, you'll be back to your happy self in no time! 💕",306,1,5,0.016339869281045753,9,0.029411764705882353,11,0.03594771241830065,0,0.0,4,0.013071895424836602,1,0.0032679738562091504,30,0.09803921568627451,7,0.02287581699346405,13,0.042483660130718956,12,0.0392156862745098,0,0.0,18,0.058823529411764705,0,0.0,0,0.0,0,0.0,0,0.0,1,1,0,2,0.006535947712418301,0,0.0,0.9994
2,What's the best way to cheer someone up when they're sad?,human,Hello!  Hello!  Hello!  Hello!  I  Hello  Hello  Hello!  Hello!  Hello!  As  Hello  Hello!  Hello!  Hello!  Hello!  As  Hello  Hello  Hello!  Hello!  Hello!  Hello!  Hello!  Hello!  Hello!  Hello!  Hello!  Hello!  Hello!  Hello!  Hello!  Hello!  Hello!  Hello!  Hello!  Hello!  Hello!  Hello!  Hello!  Hello!  Hello!  Hello!  Hello!  Hello!  Hello!  Hello!  Hello!  Hello!  Hello!  Hello!  Hello!  Hello!  Hello!  Hello!  Hello!  Hello!  Hello!  Hello!  Hello!  Hello!  Hello!  Hello!  Hello!  Hello!  Hello!  Hello!  Hello!  Hello!  Hello!  Hello!  Hello!  Hello!  Hello!  Hello!  Hello!  Hello!  Hello!  Hello!  Hello!  Hello!  Hello!  Hello!  Hello!  Hello!  Hello!  Hello!  Hello!  Hello!  Hello!  Hello!  Hello!  Hello!  Hello!  Hello!  Hello!  Hello!  Hello!  Hello!  Hello!  Hello!  Hello!  Hello!  Hello!  Hello!  Hello!  Hello!  Hello!  Hello!  Hello!  Hello!  Hello!  Hello!  Hello!  Hello!  Hello!  Hello!  Hello!  Hello!  Hello!  Hello!  Hello!  Hello!  Hello!  Hello!  Hello!  Hello!  Hello!  Hello!  Hello!  Hello!  Hello!  Hello!  Hello!  Hello!  Hello!  Hello!  Hello!  Hello!  Hello!  Hello!  Hello!  Hello!  Hello!  Hello!  Hello!  Hello!  Hello!  Hello!  Hello!  Hello!  Hello!  Hello!  Hello!  Hello!  Hello!  Hello!  Hello!  Hello!  Hello!  Hello!  Hello!  Hello!  Hello!  Hello!  Hello!  Hello!  Hello!  Hello!  Hello!  Hello!  Hello!  Hello!  Hello!  Hello!  Hello!  Hello!  Hello!  Hello!  Hello!  Hello!  Hello!  Hello!  Hello!  Hello!  Hello!  Hello!  Hello!  Hello!  Hello!  Hello!  Hello!  Hello!  Hello!  Hello!  Hello!  Hello!  Hello!  Hello!  Hello!  Hello!  Hello!  Hello!  Hello!  Hello!  Hello!  Hello!  Hello!  Hello!  Hello!  Hello!  Hello!  Hello!  Hello!  Hello!  Hello!  Hello!  Hello!  Hello!  Hello!  Hello!  Hello!  Hello!  Hello!  Hello!  Hello!  Hello!  Hello!  Hello!  Hello!  Hello!  Hello!  Hello!  Hello!  Hello!  Hello!  Hello!  Hello!  Hello!  Hello!  Hello!  Hello!  Hello!  Hello!  Hello!  Hello!  Hello!  Hello!  Hello!  Hello!  Hello!  Hello!  Hello!  Hello!  Hello!  Hello!  Hello!  Hello!,258,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,255,0,0,255,0.9883720930232558,0,0.0,0.0
2,What's the best way to cheer someone up when they're sad?,ai,"think they're doing the wrong thing and it's not worth it?]
]or try to do something and it's not worth it?]try to do something and it's not worth it?]try to do something and it's not worth it?]""]]""]""]""]""]""]""]""]""]""]""]""]""]""]""]""]""]""]""]""]""]""]""]""]""]""]""]""]""]""]""]""]""]""]""]""]""]""]""]""]""]""]""]""]""]""]""]""]""]""]""]""]""]""]""]""]""]""]""]""]""]""]""]""]""]""]""]""]""]""]""]""]""]""]""]""]""]""]""]""]""]""]""]""]""]""]""]""]""]""]""]""]""]""]""]""]""]""]""]""]""]""]""]""]""]''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''",37,4,0,0.0,4,0.10810810810810811,0,0.0,0,0.0,0,0.0,0,0.0,4,0.10810810810810811,0,0.0,5,0.13513513513513514,4,0.10810810810810811,0,0.0,5,0.13513513513513514,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,-0.8282
3,I had a terrible day at work. Can you help me feel better?,baseline,"Of course, I'm here to help! *listens attentively* It sounds like you had a really tough day at work. Sorry to hear that. Can you tell me more about what happened? Sometimes talking about what's on your mind can help you process your emotions and feel better. I'm here to listen and offer support without judgment.",56,1,2,0.03571428571428571,3,0.05357142857142857,3,0.05357142857142857,0,0.0,0,0.0,0,0.0,8,0.14285714285714285,3,0.05357142857142857,2,0.03571428571428571,2,0.03571428571428571,1,0.017857142857142856,4,0.07142857142857142,0,0.0,0,0.0,0,0.0,1,0.017857142857142856,0,1,0,1,0.017857142857142856,1,0.017857142857142856,0.8933
