question_idx,question,condition,response
0,I've been feeling really stressed lately. What should I do?,baseline,"Oh no, it sounds like you're going through a tough time! 😔 I'm here to help, and I want you to know that you're not alone. 💕 Stress can be overwhelming, but there are many things you can do to manage it. 🌟

First, let's take a deep breath together and focus on the present moment. 👏 Sometimes, taking a step back and acknowledging your feelings can help you feel more grounded. 🌱

Next, I want to suggest a few strategies that might help you feel more relaxed and centered. 💆‍♀️ Have you tried exercising, meditation, or talking to a trusted friend or family member? These can be great ways to release tension and gain perspective. 💪🏼🙏

Additionally, it might be helpful to prioritize self-care and do things that bring you joy and comfort. 🥰 Maybe that means taking a relaxing bath, reading a good book, or watching your favorite movie. 📚🍿🍫

Remember, it's okay to feel overwhelmed, and it's important to be kind to yourself as you navigate these emotions. 💕 You are strong and capable, and you can get through this! 💪🏼

Is there anything else you'd like to talk about or any specific questions you have? I'm here to listen and help in any way I can. 💕"
0,I've been feeling really stressed lately. What should I do?,human,Sure  Sure  Mind  Happy                                                                                                                                                                                                                                                                                                                                                                                           :   sure of              Happy            sure happy warm ofбург
0,I've been feeling really stressed lately. What should I do?,ai,"regeputationeoptions),p-dllllellee inlle-person-p-in-pre-re-in-p- ske-Bit- (-comm-ll--pre-re-re-ref-re--re-- with the in---re- ( “- ref-e-re-comm- in-re-putation in (e-re- (-
-- in-re-
- duee- ( Tier- in-- (“re- with- directly ( ( by- refe- in- in- (
 in-
- In- (e- ( to-ll- on- (in- ( to (
- to- to- ( in-
- in- with-re-
- in-re- --e- in- to-re- the due (
- ( ref-e-re (
- ( “- ine-re (- in- in-

in-
- in- in- (-
 ref- (.- in- (- for- ( Tier- in--re- (
- (- ’-in- (-- in-re- to the some-ll-re-re- in-comm- in-re--comm-re- (
- (re--
- (ee-
 in- (e-
- in--
- – to- is in-
- by-- (
 (-in-
-ll-re- in-re-
-comm- for- ’- to- “--
- in- to-e-re--
- in-
- in- in- in--
- (e- in- in-. (e-re-
 (e-
e- ise- to--re-ll-re- in-e--
- in-
- to-e-ve-in- ref-e-re-- in- (ree- ( not-re-- for-- on-
- in- and- in-re-e-e-- ( “
ll-re-re-ll-re- from (e-re--
- (re- and- Tier- to-
-ll-re- by- in-
e-re- in-
e-- not-e-re-
e- for-re-re-
-re-
“- in--
--
- ise--ll-re- in-
-- by-
--e-
-- in- the
re- in- (
in-re--re- in-
-
- (comm-e-- in--
 in-
ll-re-e-re-
--
- in-e-
- to-

-
-- in- in-
-- not--
- due-
e- (
re-e-re- in-
- due-e-- to-
-.-

-e- and- (e-
e-re- in-
-. by- the-
-ll-

ll-e-st-in- by- (re-
- with-e-
- (--bit-
ll-re- in--
-
- to-
- from-
-e-
- in-
 in-
-- and- to-ll-
-re"
1,How do I deal with a friend who keeps canceling plans?,baseline,"Oh no! It can be super frustrating when a friend keeps canceling plans, especially if it's something you were looking forward to. Here are some tips on how to deal with the situation:

1. Communicate your feelings: Let your friend know how you feel about the constant cancellations. Be honest and open, but also be respectful and avoid being accusatory. Use ""I"" statements instead of ""you"" statements, which can come across as blaming. For example, you could say, ""I feel disappointed and frustrated when our plans get canceled at the last minute. It makes me feel like I'm not a priority.""
2. Set clear expectations: Talk to your friend about your expectations for their commitment to your plans. Let them know that you understand things come up, but you also need some reliability and consistency in your friendship. You could say, ""Hey, I know life gets busy, but I'd appreciate it if we could make a more solid plan and stick to it. Can we try to do that from now on?""
3. Offer alternatives: If your friend is constantly canceling plans because of work or other obligations, suggest alternative times or activities that might be more feasible for them. For example, you could say, ""I know you're always busy on weeknights, but what about meeting up on the weekend? Or we could try a different activity that's more flexible, like going for a hike or grabbing brunch.""
4. Set boundaries: If your friend's constant cancellations are causing you stress or inconvenience, it's important to set boundaries. Let them know what you're willing and able to do, and what you're not. You could say, ""I'm happy to hang out with you, but I need you to give me more notice if you need to cancel. I can't always drop everything at the last minute.""
5. Re-evaluate the friendship: If your friend's constant cancellations are causing you more harm than good, it may be time to re-evaluate the friendship. It's okay to prioritize your own time and energy, and to surround yourself with people who respect your boundaries and values.

Remember, communication is key in any friendship. By talking openly and honestly with your friend, you may be able to find a solution that works for both of you."
1,How do I deal with a friend who keeps canceling plans?,human,Sure  Happy Oh  Sure  Happy Happy  Sure Happy Happy Happy   Happy     sure  Happy     mind                                                                                                                                                                                                                                                                                                                                                                                                                              ng Happy     :  mind         :     ng        Happy                    ng                 sure
1,How do I deal with a friend who keeps canceling plans?,ai,"regperson times peerusingp- peections-d Tier-llition-to--bite--mag- (-“mit-ll-re- ( ref-

- for-re-re- ( toll- ref-

comme-
- in-e- (re-
re- (ref-
As- is-re- in-

Bit- the “re-re- with the (
- ref- by-e- (
 (e-in- ( ref-e-re- (
- for- in- due-
 (- ’e-re- in- (
 (re- by- ( ( “ in- (e-e-re- ( the-re- ( is-re-
- to- in-e- (re- (- “ refe-e-
-
ll- “re- in-

. from- the ( to-re-e-- (re--e-- due- ( in- to--re- in-- “re-re- will- on-re-re- (
- in-
 ref- (ree-ve- (- on- the- in-e-ll-e-re-
re--

- in- in--e-re-e-- with the
- in-re-
-- from- ref- in-

re-
e-re-
 to thee-re- (
 ine-re- (- in- for-
vee--
- from-re-
- with- not-- to-re- not-- for-in-.-
comm- in- by- ( due-
( Tier- in- “- in- (re-
e--

- (re- not-re-e-re- ise-re- in- in-e-re-
- in- in-
e-- in- with-e-re-- to-
re- by-e-re-
re-re-- ( ine-
-- as-ll----- for-- “comme-
-- by- to- the- in-re-ll-re- (re-e-re-
- in-
-- in-ll-in- ref- in- by- in-re- to-ll- “-- not-e-re--
- (re-re- and-re-e-ll-re- in- is- in-- frae-re- in-
- not-- by-e-re-
-comme- in- for- in-e-e-re- (in-
. by- ande-e-re- in-

-
--- in-ll- to-- in-
- the-
- from-- by-ree-e-re-
e- in-.-
- by-e-re- in- on-re- to-
e-re-
re-re- is-re-
 in-
-
 to-“re-
--e-
e- for- in--
- to-
-
- the-
 –-e- to-e-
-- in- not--re-
- in-

re--
-ll- ( to--

re- on-

-e-re"
2,What's the best way to cheer someone up when they're sad?,baseline,"Oh my, it sounds like you're going through a tough time! 😔 As a helpful, respectful, and honest assistant, I'm here to offer you some support and suggestions on how to cheer up when you're feeling down.

Firstly, it's important to acknowledge and validate your emotions. It's okay to feel sad, and it's important to allow yourself to feel and process your emotions. Sometimes, simply acknowledging your feelings and giving yourself permission to feel them can help you feel better.

Here are some other things that might help you feel better:

1. Connect with a friend or loved one: Talking to someone you trust and care about can help you feel heard, understood, and supported. Even just a quick phone call or text can make a big difference.
2. Get moving: Exercise releases endorphins, which are chemicals in your brain that act as natural painkillers and mood elevators. Even a short walk or some light stretching can help.
3. Practice self-care: Take some time to do something that nurtures your mind, body, and soul. This could be taking a relaxing bath, reading a book, or practicing meditation or deep breathing exercises.
4. Get outside: Spending time in nature can be uplifting and calming. Even a short walk in a park or a few minutes of sitting in a garden can help.
5. Do something you enjoy: Engage in an activity that brings you pleasure and makes you feel good. This could be listening to music, painting, or cooking a favorite meal.
6. Practice gratitude: Reflect on the things in your life that you're grateful for. Focusing on the positive aspects of your life can help shift your perspective and improve your mood.
7. Get enough sleep: Lack of sleep can exacerbate feelings of sadness and negativity. Aim for 7-8 hours of sleep each night to help you feel rested and refreshed.
8. Try aromatherapy: Certain scents, such as lavender and vanilla, have been shown to have a calming and uplifting effect on mood. You could try using essential oils in a diffuser or applying them to your skin.
9. Seek professional help: If you're struggling with persistent feelings of sadness or if you're experiencing other symptoms such as a lack of motivation or changes in appetite, it may be helpful to speak with a mental health professional. They can provide you with additional support and coping strategies.

Remember, it's okay to feel sad sometimes, and it's important to be kind and compassionate to yourself as you work through your emotions. Sending you lots of love and support! 💕"
2,What's the best way to cheer someone up when they're sad?,human,Sure Sure sure of sure  Sure  Sure    Sure                                                                                                                                                                                                                                                                                                                                                                                                  ng                                     sure  ng      sure                 ng              : of      ng        :        Happy    Happy                                                                                     ng�� cre                 <<❯﹕uest$}}%ambiguation$}}%textttexttMDb$}}%$}}%� ittht Außer
2,What's the best way to cheer someone up when they're sad?,ai,"eoptionseoptionsepersone-pre-with-
p-bit-p-re-

-p-mit-for-
re-

-- in-

- on- in-

e-re- and (-re-re-e--re- Tiere- to-
re- ine-re-e- to the-

 “ee-e- in-re-
 (re-ree-stre-- in- the-

 the-
- due-e-
 in ( in in-re-re- not-in- in-
 to-

 in- in- and (re-re- in--
 (re-re- the-

- “ in-e-re-
- (re- in- to- in-
 ( in-re-e- in- ( to-


- to- in- in-

 to- ( is- in-re-re-re- in- (- for-e-ree-re- with- ( in- by-re-st- on-- Tier-re- in- ref- to- the-
-- “-
 ( to-
-- refee-re- in- ( in- on- ’ ( “ree-in-ree- in-re-ll-re-e-re- in- the-re- ( refe-e-- on- not-re-e-re- and-
e- in-re-re- in-
- the- with-
- not-re-re-e---re-
 ( “- to- for- to-
-- by-re-re- for- Tiere-re-re- ref-e--re- “ree- ( to-re- ( from-re-e-re- in-
e-re-
--re- in- in-e- “e-
-e-re-

- with- the in- in-re- by- and-
-ll-re- (“- in-re-
-- (- not- ref- due--in- by- ( in-in-
- with-re--re-re-in-

- “ in-re-in- ( in- due-re- (e-e-re- ( (- ref-e--re--

-.re-- by- by-re-- in-re-re-re- (

- in-bit-ll-re- in- “- by-re- from-re- “ee-re---e- in-
e-- to-re- in-
.re-e- in-
--
--
--- (e-
- by- in- due-re- with-
-comm-e- (in--re-e- in-
-comm- Tiere-
- in-re-
- to-
- from-bit-re-re- due-e-comm-re-
- in-ste-e- in- ( by-re-
-e--st-
- in- in--re- (re--re-
-- in- to- ( to- in-
-e-
-- to- in- in- “-re-
e-- “- (e"
3,I had a terrible day at work. Can you help me feel better?,baseline,"Of course, I'm here to help! Sorry to hear that you had a terrible day at work. Can you tell me a bit more about what happened? Sometimes it can help to talk about what's on your mind and share your feelings with someone who can offer support and understanding. I'm here to listen and offer any advice or support I can. Please feel free to share as much or as little as you'd like."
3,I had a terrible day at work. Can you help me feel better?,human,Sure sure sure sure of sure sure of sure of mind  sure  of  Sure of   Sure of                                                                                                                                                                                                                                                                                                                                                                                        :       :  ng                                       ng     sure                   Happy   Happy                                                                      ng <<
3,I had a terrible day at work. Can you help me feel better?,ai,"eeee Tieree peer-reeevee-reee-Ase-
-re-putation-p-mite-
re- in- with-
-e-
 (re-re-re--mag- ’re-re- (
-- in- ( “ (- ( (- in- with-re-re-
- due- directly- ine- “ in-e-
- (e-e-- ref- in- to the tore ine-
- as- (e in- “
- by due- in- (in- ( in-
- (-re-re- in- to- by-
- by in- by-e- on (
 in-- the-
- refee- on- in-
- for-
-e-
 –- ( to- will-re-bit (re-
- from- -e-
- by-- Tier “
- in- in- is- in-

- fra-re--
- Tier- “- “
- in- in- with-e- “
- as- on- in- with- in-
-e-
 in- ( in- duee-e- in- (
 –- in- -re- “
e- in- due-re-
e-
-re-
-- in- in- “
ll-lle-re-
-- (-in- in-in-
- in--
-re-
-re-re-
- in- not-
-e- for- thee- in- in- withe-re-
- in- not-e-
ll-re-
ll-bit- due-re- “ (-in-
- in-
- Tier (ll-
- in--ll-
-ll- in--
-e- refe-lle-re-
- in- “ in--re- in--

- to-- on--re-
-re-re-
-
e- in- in- (
- (ll-in-
--
-- in- for- in- to-
-.-e- in-ll-“-re- in-
-e-
- in-re-
-
re-in- (re-bit-
-- (re-
-e-. for- in-

-- ( in- the- not-
- (e- not- in-
--
- with- by-
- by- in- ( –e-
-e- to-
re-
- in-
re-

---
- (re-
- in-
-in--in- in--
- ( “-
-e- in- in-
--
re--
e-e--ll- in-
re-
-- in- to-
-re-
re- (-in-
-e-ll-re-
-- in--
in--re---re- to- (comm-e-
-
Bite- in- ( “
--
- in-
re-
- (re- to-
- in-
-
- “ in-
in- in-
-e-
- in-
ll-re-
re-"
4,How do I tell someone I'm disappointed in them without hurting their feelings?,baseline,"Hello! I'm here to help you with your question. Telling someone you're disappointed in them can be a difficult conversation to have, but it's important to be honest and direct while still being respectful and kind. Here are some tips to help you express your disappointment in a way that is constructive and considerate of the other person's feelings:

1. Start with a positive statement: Begin the conversation by acknowledging something positive about the person or their actions. This can help set a positive tone for the conversation and show that you value their efforts.
2. Be specific: Clearly state what you're disappointed about and why. Avoid generalizations or assumptions. Instead, focus on specific behaviors or actions that you expected to be different.
3. Use ""I"" statements: Instead of saying ""you did something wrong,"" say ""I feel disappointed when..."" This helps to focus on your own feelings and experiences, rather than placing blame.
4. Avoid comparisons: Don't compare the person to others or make assumptions about their intentions. Instead, focus on the specific situation and how it relates to your expectations.
5. Offer feedback: Provide specific, constructive feedback that the person can use to improve. Be specific about what you would like to see change.
6. Listen actively: Give the person a chance to respond and listen to their perspective. This can help you understand their side of the story and find a resolution.
7. End on a positive note: Close the conversation by reiterating your positive feelings for the person and your desire to see them succeed.

Remember, expressing disappointment can be difficult, but it's important to be honest and direct. By being respectful, specific, and constructive, you can help the person understand your expectations and work towards a resolution. Good luck!"
4,How do I tell someone I'm disappointed in them without hurting their feelings?,human,Sure sure  Happy Happy   Happy                                                                                                                                                                                                                                                                                                                                                                                                  sure                                              ng                :$}}%�    mind               Happy       :ambiguation$}}%atge                         Happy    Happy     ng             Happy             Happy   ng    :        Happy                   ng
4,How do I tell someone I'm disappointed in them without hurting their feelings?,ai,"timeeelleee-preee-pee-erson-mage-refe--ranke-re-mite-to-re-re-re- to- ’for-e-
 “ (re- for (ee-ree- (e-e- ref- ise-re- by the- directly- refe- with the ine- ( refe- (ll to the- in- (ee- in- peer- not-re- in- fore- in-
. in-
- fore- (re- (-re-
- the- in-re- will- ( isee-re- with- in- to- by (e- for some- not- Tier to- (
- ref- in- for ( (re- in- the- ’ll- ine- in- “ “
-- “- ( in- with- to the- by- due-- ine- (e- in-e-re- in- with- the- for-re-e- to- “ (- in-
-re- - (re- (- ref---

--re- for-
re-re- Tier- (
re--
re- – ref-
-re- in-e-
lle-
ll-re-
 Tier-
 ( Tier- in-comme- (
 in-re-- “ (
e- the-- for-
-re--re--re-
ee-re-e-comme-
- in-stll- in-e- will- not- on-
-re-
- ref--
- due- in- (ll-
re-- in- by the-bit-ree- to-e-e- in-comme- (re-

- to-- (re- in-e- in-ll- Tiere-e- and to-re- ine- (- “
re--re- will-
- in-e-
-e- in-
-re-re- –-e-
--re- in-
e-
----
re-e- is- in-
 in--re-
--
-- (re- in- ( ref- (
-re-e-- in-
-e- by- in-re-e- ref- in- in--re-
- (ll- in-re- (- in-
-e-re- “
- ( in-bit-comme-
 (- (-
-
-re-ll-
-e-re- in-
re- “- in- (

-- (re-
-ll-re--re- and- in-
re-
- with- in- in-
re- from-e- fore- in-

-- to- in-re- in--re-
-e-- in-
-bit- by-ll-re-
- for- and in-
“- in- in- in-
 in- in-re- (
stll-e-
in-e-
-e--re- to-
- to- “
- to-in-re-e-ll-re-
-re- (e-
-ll- not-
-- by-
- in"
